分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,明泰科技從2008年開始進行組織型溫室氣體盤查系統ISO 14064-1；配合新版公告，於2021年度導入新版ISO 14064-1:2018，未來每年以減碳3%為目標計劃，並持續進行溫室氣體減量。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,8.481000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,9.715
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,7.852
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,7.996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,4.928999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,2.678
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,2.856
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.019
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,2.423
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.007
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,1.569
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.007
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,1.158
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.01
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,2.6799999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.019
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,9.117
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.012
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,8.312
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,0.009000000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,9.138
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,3.2439999999999998
S,員工薪資,平均薪資,,仟元,2020,856
S,員工薪資,薪資中位數,,仟元,2020,775
S,員工薪資,平均薪資,,仟元,2019,950
S,員工薪資,薪資中位數,,仟元,2019,850
S,員工薪資,平均薪資,,仟元,2018,922
G,資本額,資本額,,元,2020,5417184600
G,資本額,資本額,,元,2019,5417184600
G,營運狀況,營業收入,,仟元,2020,32170649
G,營運狀況,營業成本,,仟元,2020,27164356
G,營運狀況,營業費用,,仟元,2020,4108686
G,營運狀況,淨利,,仟元,2020,725103
G,營運狀況,營業收入,,仟元,2019,15825808
G,營運狀況,營業成本,,仟元,2019,13211807
G,營運狀況,營業費用,,仟元,2019,2381896
G,營運狀況,淨利,,仟元,2019,238903
G,營運狀況,營業收入,,仟元,2018,15608222
G,營運狀況,營業成本,,仟元,2018,13504544
G,營運狀況,營業費用,,仟元,2018,2303706
G,營運狀況,淨利,,仟元,2018,-88009
G,營運狀況,營業收入,,仟元,2017,19057109
G,營運狀況,營業成本,,仟元,2017,16164744
G,營運狀況,營業費用,,仟元,2017,2280474
G,營運狀況,淨利,,仟元,2017,548538
G,營運狀況,營業收入,,仟元,2016,21830730
G,營運狀況,營業成本,,仟元,2016,18647259
G,營運狀況,營業費用,,仟元,2016,2534479
G,營運狀況,淨利,,仟元,2016,608039
