年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,172877.74,138.98,44407.2,178.34,128470.53,129.13,
2021,138044.86,110.98,27973.81,112.34,110071.05,110.64,
2020,113025.51,90.86,23489.59,94.33,89535.92,89.99,
2019,124390.55,100,24900.39,100,99490.16,100,
2018,122413.28,98.41,24004.42,96.4,98408.86,98.91,
2017,134584.28,108.19,28319.99,113.73,106264.29,106.81,
2016,142094.66,114.23,52135.88,209.38,89958.78,90.42,
2015,128428.99,103.25,48810.81,196.02,79618.18,80.03,
2014,131069.36,105.37,51501.41,206.83,79567.95,79.98,
2013,131929.07,106.06,55073.84,221.18,76855.23,77.25,
2023,189040.13,151.97,50909.48,204.45,138130.66,138.84,T
2024,205202.53,164.97,57411.75,230.57,147790.78,148.55,T
2025,221364.93,177.96,63914.02,256.68,157450.91,158.26,T
2026,237527.32,190.95,70416.29,282.79,167111.03,167.97,T
2027,253689.72,203.95,76918.56,308.91,176771.16,177.68,T
2028,269852.11,216.94,83420.83,335.02,186431.28,187.39,T
2029,286014.51,229.93,89923.1,361.13,196091.41,197.1,T
2030,302176.91,242.93,96425.38,387.24,205751.53,206.81,T
2031,318339.3,255.92,102927.65,413.36,215411.66,216.52,T
2032,334501.7,268.91,109429.92,439.47,225071.78,226.23,T
2033,350664.09,281.91,115932.19,465.58,234731.9,235.93,T
2034,366826.49,294.9,122434.46,491.7,244392.03,245.64,T
2035,382988.89,307.89,128936.73,517.81,254052.15,255.35,T
2036,399151.28,320.89,135439,543.92,263712.28,265.06,T
2037,415313.68,333.88,141941.28,570.04,273372.4,274.77,T
2038,431476.07,346.87,148443.55,596.15,283032.53,284.48,T
2039,447638.47,359.87,154945.82,622.26,292692.65,294.19,T
2040,463800.87,372.86,161448.09,648.38,302352.78,303.9,T
2041,479963.26,385.85,167950.36,674.49,312012.9,313.61,T
2042,496125.66,398.85,174452.63,700.6,321673.03,323.32,T
2043,512288.05,411.84,180954.9,726.72,331333.15,333.03,T
2044,528450.45,424.83,187457.18,752.83,340993.27,342.74,T
2045,544612.85,437.82,193959.45,778.94,350653.4,352.45,T
2046,560775.24,450.82,200461.72,805.05,360313.52,362.16,T
2047,576937.64,463.81,206963.99,831.17,369973.65,371.87,T
2048,593100.03,476.8,213466.26,857.28,379633.77,381.58,T
2049,609262.43,489.8,219968.53,883.39,389293.9,391.29,T
2050,625424.83,502.79,226470.8,909.51,398954.02,401,T
