分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,641508.87
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,6371.1
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,647879.97
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,748104.52
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,5585.12
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,753689.64
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,822933.27
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,4933.63
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,827866.9
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,839857.17
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,4801.07
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,844658.24
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,980676.0099999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,3646.43
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,984322.44
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,995788.15
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,4008.16
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,999796.31
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,1005458.15
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,3922.88
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,1009381.03
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,914025.87
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,5277.31
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,919303.18
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,218.18900000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,33.994
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,3.795
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,63.16
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,6.085
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,2.905
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,145.951
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,7.411
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,6.675
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,293.56399999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,19.729999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,11.918
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,376.27099999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,26.947000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,9.706999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,369.914
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,32.453
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,7.838
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,318.588
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,40.307
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,10.264
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,324.371
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,10.972000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,14.635000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,210.509
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,6.577999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,14.427
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,395.16200000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,4.543
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,26.581
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,226.39200000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,34.192
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,5.4350000000000005
G,資本額,資本額,,元,2020,3300000000
G,資本額,資本額,,元,2019,3300000000
