分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,866
S,員工薪資,薪資中位數,,仟元,2020,718
S,員工薪資,平均薪資,,仟元,2019,733
S,員工薪資,薪資中位數,,仟元,2019,630
S,員工薪資,平均薪資,,仟元,2018,801
G,資本額,資本額,,元,2020,1781000000
G,資本額,資本額,,元,2019,1781000000
G,營運狀況,營業收入,,仟元,2020,2104572
G,營運狀況,營業成本,,仟元,2020,1851165
G,營運狀況,營業費用,,仟元,2020,280324
G,營運狀況,淨利,,仟元,2020,145600
G,營運狀況,營業收入,,仟元,2019,2279734
G,營運狀況,營業成本,,仟元,2019,2024132
G,營運狀況,營業費用,,仟元,2019,334194
G,營運狀況,淨利,,仟元,2019,45873
G,營運狀況,營業收入,,仟元,2018,3040055
G,營運狀況,營業成本,,仟元,2018,2750636
G,營運狀況,營業費用,,仟元,2018,353795
G,營運狀況,淨利,,仟元,2018,-190496
G,營運狀況,營業收入,,仟元,2017,3443392
G,營運狀況,營業成本,,仟元,2017,2988208
G,營運狀況,營業費用,,仟元,2017,362759
G,營運狀況,淨利,,仟元,2017,104934
G,營運狀況,營業收入,,仟元,2016,2997576
G,營運狀況,營業成本,,仟元,2016,2650542
G,營運狀況,營業費用,,仟元,2016,403779
G,營運狀況,淨利,,仟元,2016,-32815
