分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報,氮氧化物,,,2009,0.315
E,空氣污染物申報,硫氧化物,,,2009,0.026000000000000002
E,空氣污染物申報,粒狀污染物,,,2009,0
E,空氣污染物申報,揮發性有機化合物,,,2009,24.835
E,空氣污染物申報,氮氧化物,,,2010,0
E,空氣污染物申報,硫氧化物,,,2010,0
E,空氣污染物申報,粒狀污染物,,,2010,0
E,空氣污染物申報,揮發性有機化合物,,,2010,0.09
E,空氣污染物申報,氮氧化物,,,2011,0.515
E,空氣污染物申報,硫氧化物,,,2011,0.043
E,空氣污染物申報,粒狀污染物,,,2011,0
E,空氣污染物申報,揮發性有機化合物,,,2011,46.19999999999999
E,空氣污染物申報,氮氧化物,,,2012,0.6459999999999999
E,空氣污染物申報,硫氧化物,,,2012,0.029
E,空氣污染物申報,粒狀污染物,,,2012,0
E,空氣污染物申報,揮發性有機化合物,,,2012,48.401
E,空氣污染物申報,氮氧化物,,,2013,0.5030000000000001
E,空氣污染物申報,硫氧化物,,,2013,0.014
E,空氣污染物申報,粒狀污染物,,,2013,0
E,空氣污染物申報,揮發性有機化合物,,,2013,22.598000000000003
E,空氣污染物申報,氮氧化物,,,2014,0.6679999999999999
E,空氣污染物申報,硫氧化物,,,2014,0.015
E,空氣污染物申報,粒狀污染物,,,2014,0
E,空氣污染物申報,揮發性有機化合物,,,2014,38.028999999999996
E,空氣污染物申報,氮氧化物,,,2015,0.479
E,空氣污染物申報,硫氧化物,,,2015,0.007
E,空氣污染物申報,粒狀污染物,,,2015,0
E,空氣污染物申報,揮發性有機化合物,,,2015,21.54
E,空氣污染物申報,氮氧化物,,,2016,0.505
E,空氣污染物申報,硫氧化物,,,2016,0.014
E,空氣污染物申報,粒狀污染物,,,2016,0.043
E,空氣污染物申報,揮發性有機化合物,,,2016,11.246
E,空氣污染物申報,苯,,,2017,0
E,空氣污染物申報,四氯化碳,,,2017,0
E,空氣污染物申報,1-1-二氯乙烷,,,2017,0
E,空氣污染物申報,1-2-二氯乙烷,,,2017,0
E,空氣污染物申報,戴奧辛,,,2017,0
E,空氣污染物申報,乙苯,,,2017,0
E,空氣污染物申報,二氯甲烷,,,2017,0
E,空氣污染物申報,氮氧化物,,,2017,0.406
E,空氣污染物申報,硫氧化物,,,2017,0.007
E,空氣污染物申報,苯乙烯,,,2017,0
E,空氣污染物申報,粒狀污染物,,,2017,0.06
E,空氣污染物申報,四氯乙烯,,,2017,0
E,空氣污染物申報,甲苯,,,2017,0
E,空氣污染物申報,三氯乙烷,,,2017,0
E,空氣污染物申報,三氯乙烯,,,2017,0
E,空氣污染物申報,揮發性有機化合物,,,2017,10.805
E,空氣污染物申報,二甲苯,,,2017,6.054
E,空氣污染物申報,三氯甲烷,,,2017,0
E,空氣污染物申報,重金屬,,,2017,0
E,空氣污染物申報,苯,,,2018,0
E,空氣污染物申報,四氯化碳,,,2018,0
E,空氣污染物申報,1-1-二氯乙烷,,,2018,0
E,空氣污染物申報,1-2-二氯乙烷,,,2018,0
E,空氣污染物申報,戴奧辛,,,2018,0
E,空氣污染物申報,乙苯,,,2018,0
E,空氣污染物申報,二氯甲烷,,,2018,0
E,空氣污染物申報,氮氧化物,,,2018,1.399
E,空氣污染物申報,硫氧化物,,,2018,0.024999999999999998
E,空氣污染物申報,苯乙烯,,,2018,0
E,空氣污染物申報,粒狀污染物,,,2018,0.125
E,空氣污染物申報,四氯乙烯,,,2018,0
E,空氣污染物申報,甲苯,,,2018,0
E,空氣污染物申報,三氯乙烷,,,2018,0
E,空氣污染物申報,三氯乙烯,,,2018,0
E,空氣污染物申報,揮發性有機化合物,,,2018,74.24700000000001
E,空氣污染物申報,二甲苯,,,2018,42.793000000000006
E,空氣污染物申報,三氯甲烷,,,2018,0
E,空氣污染物申報,重金屬,,,2018,0
E,空氣污染物申報,苯,,,2019,0
E,空氣污染物申報,四氯化碳,,,2019,0
E,空氣污染物申報,1-1-二氯乙烷,,,2019,0
E,空氣污染物申報,1-2-二氯乙烷,,,2019,0
E,空氣污染物申報,戴奧辛,,,2019,0
E,空氣污染物申報,乙苯,,,2019,0
E,空氣污染物申報,二氯甲烷,,,2019,0
E,空氣污染物申報,氮氧化物,,,2019,0
E,空氣污染物申報,硫氧化物,,,2019,0
E,空氣污染物申報,苯乙烯,,,2019,0
E,空氣污染物申報,粒狀污染物,,,2019,0
E,空氣污染物申報,四氯乙烯,,,2019,0
E,空氣污染物申報,甲苯,,,2019,0
E,空氣污染物申報,三氯乙烷,,,2019,0
E,空氣污染物申報,三氯乙烯,,,2019,0
E,空氣污染物申報,揮發性有機化合物,,,2019,0
E,空氣污染物申報,二甲苯,,,2019,0
E,空氣污染物申報,三氯甲烷,,,2019,0
E,空氣污染物申報,重金屬,,,2019,0
E,空氣污染物申報,苯,,,2020,0
E,空氣污染物申報,四氯化碳,,,2020,0
E,空氣污染物申報,1-1-二氯乙烷,,,2020,0
E,空氣污染物申報,1-2-二氯乙烷,,,2020,0
E,空氣污染物申報,戴奧辛,,,2020,0
E,空氣污染物申報,乙苯,,,2020,0
E,空氣污染物申報,二氯甲烷,,,2020,0
E,空氣污染物申報,氮氧化物,,,2020,0.32
E,空氣污染物申報,硫氧化物,,,2020,0.005
E,空氣污染物申報,苯乙烯,,,2020,0
E,空氣污染物申報,粒狀污染物,,,2020,0.004
E,空氣污染物申報,四氯乙烯,,,2020,0
E,空氣污染物申報,甲苯,,,2020,0
E,空氣污染物申報,三氯乙烷,,,2020,0
E,空氣污染物申報,三氯乙烯,,,2020,0
E,空氣污染物申報,揮發性有機化合物,,,2020,19.244
E,空氣污染物申報,二甲苯,,,2020,13.067999999999998
E,空氣污染物申報,三氯甲烷,,,2020,0
E,空氣污染物申報,重金屬,,,2020,0
E,環境違規,違反環境法規金額,,元,2012,3000
E,環境違規,違反環境法規次數,,次,2012,1
E,環境違規,違反環境法規金額,,元,2013,103000
E,環境違規,違反環境法規次數,,次,2013,2
E,環境違規,違反環境法規金額,,元,2019,3000
E,環境違規,違反環境法規次數,,次,2019,1
S,員工薪資,平均薪資,,仟元,2020,675
S,員工薪資,薪資中位數,,仟元,2020,601
S,員工薪資,平均薪資,,仟元,2019,645
S,員工薪資,薪資中位數,,仟元,2019,573
S,員工薪資,平均薪資,,仟元,2018,640
G,資本額,資本額,,元,2020,6476553000
G,資本額,資本額,,元,2019,6476553000
G,營運狀況,營業收入,,仟元,2020,19228310
G,營運狀況,營業成本,,仟元,2020,17882620
G,營運狀況,營業費用,,仟元,2020,803287
G,營運狀況,淨利,,仟元,2020,522395
G,營運狀況,營業收入,,仟元,2019,16735011
G,營運狀況,營業成本,,仟元,2019,15783299
G,營運狀況,營業費用,,仟元,2019,787123
G,營運狀況,淨利,,仟元,2019,232444
G,營運狀況,營業收入,,仟元,2018,18510589
G,營運狀況,營業成本,,仟元,2018,17495379
G,營運狀況,營業費用,,仟元,2018,797913
G,營運狀況,淨利,,仟元,2018,243999
G,營運狀況,營業收入,,仟元,2017,17266107
G,營運狀況,營業成本,,仟元,2017,16142058
G,營運狀況,營業費用,,仟元,2017,772946
G,營運狀況,淨利,,仟元,2017,401683
G,營運狀況,營業收入,,仟元,2016,16492865
G,營運狀況,營業成本,,仟元,2016,14901019
G,營運狀況,營業費用,,仟元,2016,883632
G,營運狀況,淨利,,仟元,2016,661555
