分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,210.44
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,3298.04
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,NA
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,22.980599050025024
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,3508.48
E,能源使用狀況,總用電量,true,度,2020,6187700
E,能源使用狀況,再生能源設置量,true,,2020,NA
E,能源使用狀況,再生能源發電量,true,,2020,NA
E,能源使用狀況,能源密集度,true,度/億元,2020,40529.53208849412
E,水資源,總取水量,true,,2020,無揭露
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,噸,2020,19169
E,水資源,排放水量,true,,2020,無揭露
E,廢棄物管理,一般事業廢棄物,true,,2020,無揭露
E,廢棄物管理,有害事業廢棄物,true,,2020,無揭露
E,廢棄物管理,資源化再利用,true,,2020,無揭露
S,員工組成,性別比,true,人,2020,2.3333333333333335
S,員工組成,是否聘用移工,true,人,2020,NA
S,員工組成,是否聘用身障人士,true,人,2020,無揭露
S,員工組成,是否聘用原住民,true,人,2020,無揭露
S,員工薪資,平均薪資,,仟元,2020,2106
S,員工薪資,薪資中位數,,仟元,2020,1964
S,員工薪資,平均薪資,,仟元,2019,1684
S,員工薪資,薪資中位數,,仟元,2019,1568
S,員工薪資,平均薪資,,仟元,2018,1838
S,職業健康,職災事故,true,,2020,0
S,職業健康,工安意外,true,,2020,無揭露
G,資本額,資本額,,元,2020,2861569350
G,資本額,資本額,,元,2019,2861569350
G,是否產製CSR報告,是否編撰報告書,true,,,有
G,營運狀況,營業收入,,仟元,2020,15267139
G,營運狀況,營業成本,,仟元,2020,12618097
G,營運狀況,營業費用,,仟元,2020,1494257
G,營運狀況,淨利,,仟元,2020,1084441
G,營運狀況,營業收入,,仟元,2019,11983479
G,營運狀況,營業成本,,仟元,2019,10181271
G,營運狀況,營業費用,,仟元,2019,1227265
G,營運狀況,淨利,,仟元,2019,505611
G,營運狀況,營業收入,,仟元,2018,11555124
G,營運狀況,營業成本,,仟元,2018,9426197
G,營運狀況,營業費用,,仟元,2018,1322512
G,營運狀況,淨利,,仟元,2018,716194
G,營運狀況,營業收入,,仟元,2017,10456519
G,營運狀況,營業成本,,仟元,2017,8399836
G,營運狀況,營業費用,,仟元,2017,1325285
G,營運狀況,淨利,,仟元,2017,862058
G,營運狀況,營業收入,,仟元,2016,9300534
G,營運狀況,營業成本,,仟元,2016,7878817
G,營運狀況,營業費用,,仟元,2016,1112166
G,營運狀況,淨利,,仟元,2016,581339
G,稅務透明度,營利事業所得稅稅額,true,元,2020,無揭露
G,稅務透明度,政府補助、補貼金額,true,元,2020,無揭露
G,稅務透明度,研發投入費用,true,元,2020,無揭露
G,ISO認證,ISO 9001,true,,2020,無
G,ISO認證,ISO 14001,true,,2020,有
G,ISO認證,ISO 45001,true,,2020,無
G,ISO認證,ISO 50001,true,,2020,無
