分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,22667.75
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,138343.43
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,161011.18
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2018,2187.38
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2018,125077.74
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2018,7317.476946217617
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2018,127265.12000000001
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2019,81.37
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2019,147632.64
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2019,6791.479960827406
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2019,147714.01
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,89.5
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,163613.84
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,6956.094638349948
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,163703.34
E,能源使用狀況,總用電量,true,度（KWh）,2021,38972360
E,能源使用狀況,再生能源設置量,true,,2021,NA
E,能源使用狀況,再生能源發電量,true,,2021,NA
E,能源使用狀況,總用電量,true,度,2018,30213282
E,能源使用狀況,再生能源設置量,true,NA,2018,NA
E,能源使用狀況,再生能源發電量,true,NA,2018,NA
E,能源使用狀況,能源密集度,true,度/億元,2018,1737200.2203319469
E,能源使用狀況,總用電量,true,度,2019,25847277
E,能源使用狀況,再生能源設置量,true,NA,2019,NA
E,能源使用狀況,再生能源發電量,true,NA,2019,NA
E,能源使用狀況,能源密集度,true,度/億元,2019,1188386.0155678876
E,能源使用狀況,總用電量,true,度,2020,25637752
E,能源使用狀況,再生能源設置量,true,NA,2020,NA
E,能源使用狀況,再生能源發電量,true,NA,2020,NA
E,能源使用狀況,能源密集度,true,度/億元,2020,1089401.286660038
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,水資源,總取水量,true,,2021,210691
E,水資源,回收水量,true,,2021,378449
E,水資源,耗用水量,true,,2021,265293
E,水資源,排放水量,true,,2021,323847
E,水資源,總取水量,true,噸,2018,246625
E,水資源,回收水量,true,,2018,無揭露
E,水資源,耗用水量,true,噸,2018,109479
E,水資源,排放水量,true,噸,2018,246928
E,水資源,總取水量,true,噸,2019,466293
E,水資源,回收水量,true,,2019,無揭露
E,水資源,耗用水量,true,噸,2019,71465
E,水資源,排放水量,true,噸,2019,179000
E,水資源,總取水量,true,噸,2020,607460
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,噸,2020,32940
E,水資源,排放水量,true,噸,2020,133810
E,廢棄物管理,一般事業廢棄物,true,,2021,742.85
E,廢棄物管理,有害事業廢棄物,true,,2021,411
E,廢棄物管理,資源化再利用,true,,2021,129.57
E,廢棄物管理,一般事業廢棄物,true,噸,2018,354.06
E,廢棄物管理,有害事業廢棄物,true,噸,2018,14.85
E,廢棄物管理,資源化再利用,true,無揭露,2018,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2019,183
E,廢棄物管理,有害事業廢棄物,true,噸,2019,76.19
E,廢棄物管理,資源化再利用,true,無揭露,2019,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2020,658.77
E,廢棄物管理,有害事業廢棄物,true,噸,2020,16.64
E,廢棄物管理,資源化再利用,true,無揭露,2020,無揭露
S,員工組成,正式員工,true,人,2021,373
S,員工組成,性別比,true,人,2021,1.8914728682170543
S,員工組成,是否聘用移工,true,人,2021,無揭露
S,員工組成,是否聘用身障人士,true,人,2021,無揭露
S,員工組成,是否聘用原住民,true,人,2021,無揭露
S,員工組成,正式員工,true,人,2018,260
S,員工組成,性別比,true,人,2018,1.7659574468085106
S,員工組成,新進率,true,人,2018,0.3447098976109215
S,員工組成,離職率,true,人,2018,0.3174061433447099
S,員工組成,是否聘用移工,true,人,2018,無揭露
S,員工組成,是否聘用身障人士,true,人,2018,無揭露
S,員工組成,是否聘用原住民,true,人,2018,無揭露
S,員工組成,正式員工,true,人,2019,259
S,員工組成,性別比,true,人,2019,1.6979166666666667
S,員工組成,新進率,true,人,2019,0.27796610169491526
S,員工組成,離職率,true,人,2019,0.26440677966101694
S,員工組成,是否聘用移工,true,人,2019,無揭露
S,員工組成,是否聘用身障人士,true,人,2019,無揭露
S,員工組成,是否聘用原住民,true,人,2019,無揭露
S,員工組成,正式員工,true,人,2020,285
S,員工組成,性別比,true,人,2020,1.9081632653061225
S,員工組成,新進率,true,人,2020,0.23003194888178913
S,員工組成,離職率,true,人,2020,0.17252396166134185
S,員工組成,是否聘用移工,true,人,2020,無揭露
S,員工組成,是否聘用身障人士,true,人,2020,無揭露
S,員工組成,是否聘用原住民,true,人,2020,無揭露
S,職業健康,職災事故,true,,2018,10
S,職業健康,工安意外,true,,2018,未揭露
S,職業健康,職災事故,true,,2019,13
S,職業健康,工安意外,true,,2019,未揭露
S,職業健康,職災事故,true,,2020,14
S,職業健康,工安意外,true,,2020,未揭露
S,職業健康,職災事故,true,,2021,23
S,職業健康,工安意外,true,,2021,否
G,是否產製CSR報告,是否編撰報告書,true,,2021,是
G,是否產製CSR報告,是否編撰報告書,true,,2018,有
G,是否產製CSR報告,是否編撰報告書,true,,2019,有
G,是否產製CSR報告,是否編撰報告書,true,,2020,有
G,營運狀況,營業收入,,仟元,2020,2353380
G,營運狀況,營業成本,,仟元,2020,1564853
G,營運狀況,營業費用,,仟元,2020,289312
G,營運狀況,淨利,,仟元,2020,509581
G,營運狀況,營業收入,,仟元,2019,2174990
G,營運狀況,營業成本,,仟元,2019,1501761
G,營運狀況,營業費用,,仟元,2019,282085
G,營運狀況,淨利,,仟元,2019,331257
G,營運狀況,營業收入,,仟元,2018,1739194
G,營運狀況,營業成本,,仟元,2018,1317839
G,營運狀況,營業費用,,仟元,2018,259187
G,營運狀況,淨利,,仟元,2018,224091
G,營運狀況,營業收入,,仟元,2017,1747987
G,營運狀況,營業成本,,仟元,2017,1321952
G,營運狀況,營業費用,,仟元,2017,218619
G,營運狀況,淨利,,仟元,2017,166172
G,營運狀況,營業收入,,仟元,2016,1586120
G,營運狀況,營業成本,,仟元,2016,1148829
G,營運狀況,營業費用,,仟元,2016,175980
G,營運狀況,淨利,,仟元,2016,286543
G,稅務透明度,營利事業所得稅稅額,true,元,2021,NA
G,稅務透明度,政府補助、補貼金額,true,元,2021,NA
G,稅務透明度,研發投入費用,true,元,2021,190486000
G,稅務透明度,營利事業所得稅稅額,true,元,2018,無揭露
G,稅務透明度,政府補助、補貼金額,true,元,2018,無揭露
G,稅務透明度,研發投入費用,true,元,2018,96675000
G,稅務透明度,營利事業所得稅稅額,true,元,2019,無揭露
G,稅務透明度,政府補助、補貼金額,true,元,2019,無揭露
G,稅務透明度,研發投入費用,true,元,2019,110484000
G,稅務透明度,營利事業所得稅稅額,true,元,2020,無揭露
G,稅務透明度,政府補助、補貼金額,true,元,2020,無揭露
G,稅務透明度,研發投入費用,true,元,2020,97428000
G,ISO認證,ISO 9001,true,,2021,否
G,ISO認證,ISO 14001,true,,2021,是
G,ISO認證,ISO 45001,true,,2021,是
G,ISO認證,ISO 50001,true,,2021,否
G,ISO認證,ISO 9001,true,,2018,NA
G,ISO認證,ISO 14001,true,,2018,有
G,ISO認證,ISO 45001,true,,2018,有
G,ISO認證,ISO 50001,true,,2018,NA
G,ISO認證,ISO 9001,true,,2019,NA
G,ISO認證,ISO 14001,true,,2019,有
G,ISO認證,ISO 45001,true,,2019,有
G,ISO認證,ISO 50001,true,,2019,NA
G,ISO認證,ISO 9001,true,,2020,NA
G,ISO認證,ISO 14001,true,,2020,有
G,ISO認證,ISO 45001,true,,2020,有
G,ISO認證,ISO 50001,true,,2020,NA
