分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,期望下年度能達成較上一年溫室氣體排放量減少1%。
E,環境違規,違反環境法規金額-misc,,元,2016,100000
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2018,240000
E,環境違規,違反環境法規次數-misc,,次,2018,4
E,環境違規,違反環境法規金額-空氣,,元,2018,100000
E,環境違規,違反環境法規次數-空氣,,次,2018,1
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
S,員工薪資,平均薪資,,仟元,2020,585
S,員工薪資,薪資中位數,,仟元,2020,543
S,員工薪資,平均薪資,,仟元,2019,618
S,員工薪資,薪資中位數,,仟元,2019,576
S,員工薪資,平均薪資,,仟元,2018,674
G,資本額,資本額,,元,2020,2548264610
G,資本額,資本額,,元,2019,2548264610
G,營運狀況,營業收入,,仟元,2020,7778541
G,營運狀況,營業成本,,仟元,2020,6670664
G,營運狀況,營業費用,,仟元,2020,1778005
G,營運狀況,淨利,,仟元,2020,-396709
G,營運狀況,營業收入,,仟元,2019,11000093
G,營運狀況,營業成本,,仟元,2019,8524115
G,營運狀況,營業費用,,仟元,2019,2205337
G,營運狀況,淨利,,仟元,2019,89620
G,營運狀況,營業收入,,仟元,2018,11625277
G,營運狀況,營業成本,,仟元,2018,8909759
G,營運狀況,營業費用,,仟元,2018,2297955
G,營運狀況,淨利,,仟元,2018,397299
G,營運狀況,營業收入,,仟元,2017,9762815
G,營運狀況,營業成本,,仟元,2017,7666519
G,營運狀況,營業費用,,仟元,2017,2146770
G,營運狀況,淨利,,仟元,2017,-232433
G,營運狀況,營業收入,,仟元,2016,9768086
G,營運狀況,營業成本,,仟元,2016,7616854
G,營運狀況,營業費用,,仟元,2016,2018455
G,營運狀況,淨利,,仟元,2016,65860
