年份,Tot數值,Tot變化,是承諾值
2020,805634.72,101.29,
2019,795357.3,100,
2018,858206.81,107.9,
2017,709907.08,89.26,
2016,661282.84,83.14,
2015,724596.45,91.1,
2014,452871.57,56.94,
2013,429407.85,53.99,
2014,747245.9904,0.9395098157771355,T
2015,737938.656,0.9278077362211925,T
2016,728631.3216,0.9161056566652497,T
2017,719323.9872,0.9044035771093066,T
2018,710016.6528,0.8927014975533637,T
2019,700709.3184,0.8809994179974208,T
2020,691401.9839999999,0.8692973384414777,T
2021,682094.6496,0.8575952588855348,T
2022,672787.3152,0.8458931793295917,T
2023,663479.9808,0.8341910997736489,T
2024,654172.6464,0.8224890202177059,T
2025,644865.312,0.8107869406617629,T
2026,635557.9776,0.7990848611058199,T
2027,626250.6431999999,0.7873827815498768,T
2028,616943.3088,0.775680701993934,T
2029,607635.9744,0.763978622437991,T
2030,598328.64,0.752276542882048,T
