分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,9.107
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,8.742
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,8.295
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,43.92100000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,79.288
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,172.992
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,71.79
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,111.40400000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,167.243
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2017,117.134
E,空氣污染物申報-有害空氣污染物,乙苯,,,2017,0.129
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,8.700000000000001
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,0.7970000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,176.16299999999998
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2018,121.40100000000001
E,空氣污染物申報-有害空氣污染物,乙苯,,,2018,0.05000000000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,6.061
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,0.30200000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,95.474
E,空氣污染物申報-有害空氣污染物,苯,,,2019,0.029
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2019,60.92
E,空氣污染物申報-有害空氣污染物,乙苯,,,2019,0.044
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,5.702
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,0.23
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,10.384
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2020,0.027
E,空氣污染物申報-有害空氣污染物,乙苯,,,2020,0.132
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,2.695
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,0.125
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.131
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.01
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,37.346
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2021,15.031000000000002
E,空氣污染物申報-有害空氣污染物,乙苯,,,2021,0.14800000000000002
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,3.609
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.20600000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,0.243
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.02
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,32.149
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2022,2.2910000000000004
E,空氣污染物申報-有害空氣污染物,乙苯,,,2022,0.061
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,4.304
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2022,0.043000000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.133
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.011
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,7.8260000000000005
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2023,1.103
E,空氣污染物申報-有害空氣污染物,乙苯,,,2023,0.005
E,空氣污染物申報-有害空氣污染物,甲苯,,,2023,0.7080000000000001
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2023,0.012
E,環境違規,違反環境法規金額-misc,,元,2015,100000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2017,100000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,100000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
S,員工薪資,平均薪資,,仟元,2020,721
S,員工薪資,薪資中位數,,仟元,2020,664
S,員工薪資,平均薪資,,仟元,2019,740
S,員工薪資,薪資中位數,,仟元,2019,691
S,員工薪資,平均薪資,,仟元,2018,648
G,資本額,資本額,,元,2020,888862760
G,資本額,資本額,,元,2019,888862760
G,營運狀況,營業收入,,仟元,2020,4224774
G,營運狀況,營業成本,,仟元,2020,3223452
G,營運狀況,營業費用,,仟元,2020,773959
G,營運狀況,淨利,,仟元,2020,94453
G,營運狀況,營業收入,,仟元,2019,3690115
G,營運狀況,營業成本,,仟元,2019,2715288
G,營運狀況,營業費用,,仟元,2019,846932
G,營運狀況,淨利,,仟元,2019,46117
G,營運狀況,營業收入,,仟元,2018,3959487
G,營運狀況,營業成本,,仟元,2018,2855869
G,營運狀況,營業費用,,仟元,2018,836923
G,營運狀況,淨利,,仟元,2018,358783
G,營運狀況,營業收入,,仟元,2017,3622993
G,營運狀況,營業成本,,仟元,2017,2516193
G,營運狀況,營業費用,,仟元,2017,731501
G,營運狀況,淨利,,仟元,2017,273998
G,營運狀況,營業收入,,仟元,2016,2773781
G,營運狀況,營業成本,,仟元,2016,1983230
G,營運狀況,營業費用,,仟元,2016,518118
G,營運狀況,淨利,,仟元,2016,322827
