分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,89380.11
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,4220.1
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,83346.69
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,4081.93
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,96824.03
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,4601.41
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,33720.13
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,4886.22
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,5911.617480197042
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,15785.75
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,2639.57
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,8710.087926633261
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,226.498
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,56.688
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,88.00399999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,65.362
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,265.544
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,25.866000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,125.28
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,55.14
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,88.17699999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,8.593
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,46.535
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,23.53
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,233.293
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,40.137
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,29.11
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,66.00399999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,182.222
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,13.914000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,28.1
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,44.58
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,180.887
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,20.628000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,29.1
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,44.619
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,148.36499999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,18.732
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,20.22
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,34.088
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,105.32900000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,18.521
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,11.71
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,16.778
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,80.015
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,3.9539999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,12.841999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,13.186
E,空氣污染物申報-有害空氣污染物,苯,,,2017,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,28.927000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.386
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,6.808
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,8.870000000000001
E,空氣污染物申報-有害空氣污染物,苯,,,2019,0.005
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2019,0.032
E,空氣污染物申報-有害空氣污染物,乙苯,,,2019,0.003
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2019,0.029
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.016
E,空氣污染物申報-有害空氣污染物,三氯乙烯,,,2019,0.005
E,空氣污染物申報-undefined,三氯乙烷,,,2019,0.047
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,27.874
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,1.537
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,3.84
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,8.431
E,空氣污染物申報-有害空氣污染物,苯,,,2020,0.003
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2020,0.023
E,空氣污染物申報-有害空氣污染物,乙苯,,,2020,0.003
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2020,0.02
