年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,34101.69,105.14,27799.58,107.12,6302.11,97.23,
2019,32433.83,100,25952.33,100,6481.5,100,
2021,35769.55,110.28,29646.83,114.24,6122.72,94.46,T
2022,37437.41,115.43,31494.08,121.35,5943.33,91.7,T
2023,39105.27,120.57,33341.33,128.47,5763.94,88.93,T
2024,40773.13,125.71,35188.58,135.59,5584.55,86.16,T
2025,42440.99,130.85,37035.83,142.71,5405.16,83.39,T
2026,44108.85,136,38883.08,149.83,5225.77,80.63,T
2027,45776.71,141.14,40730.33,156.94,5046.38,77.86,T
2028,47444.57,146.28,42577.58,164.06,4866.99,75.09,T
2029,49112.43,151.42,44424.83,171.18,4687.6,72.32,T
2030,50780.29,156.57,46272.08,178.3,4508.21,69.56,T
2031,52448.15,161.71,48119.33,185.41,4328.82,66.79,T
2032,54116.01,166.85,49966.58,192.53,4149.43,64.02,T
2033,55783.87,171.99,51813.83,199.65,3970.04,61.25,T
2034,57451.73,177.14,53661.08,206.77,3790.65,58.48,T
2035,59119.59,182.28,55508.33,213.89,3611.26,55.72,T
2036,60787.45,187.42,57355.58,221,3431.87,52.95,T
2037,62455.31,192.56,59202.83,228.12,3252.48,50.18,T
2038,64123.17,197.7,61050.08,235.24,3073.09,47.41,T
2039,65791.03,202.85,62897.33,242.36,2893.7,44.65,T
2040,67458.89,207.99,64744.58,249.48,2714.31,41.88,T
2041,69126.75,213.13,66591.83,256.59,2534.92,39.11,T
2042,70794.61,218.27,68439.08,263.71,2355.53,36.34,T
2043,72462.47,223.42,70286.33,270.83,2176.14,33.57,T
2044,74130.33,228.56,72133.58,277.95,1996.75,30.81,T
2045,75798.19,233.7,73980.83,285.06,1817.36,28.04,T
2046,77466.05,238.84,75828.08,292.18,1637.97,25.27,T
2047,79133.91,243.99,77675.33,299.3,1458.58,22.5,T
2048,80801.77,249.13,79522.58,306.42,1279.19,19.74,T
2049,82469.63,254.27,81369.83,313.54,1099.8,16.97,T
2050,84137.49,259.41,83217.08,320.65,920.41,14.2,T
