分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2010,0
E,環境違規,違反環境法規次數-misc,,次,2010,0
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,80000
E,環境違規,違反環境法規次數-水,,次,2010,1
E,環境違規,違反環境法規金額-misc,,元,2020,0
E,環境違規,違反環境法規次數-misc,,次,2020,0
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,63000
E,環境違規,違反環境法規次數-水,,次,2020,1
G,資本額,資本額,,元,2020,460114000
G,資本額,資本額,,元,2019,460114000
G,營運狀況,營業收入,,仟元,2020,334028
G,營運狀況,營業成本,,仟元,2020,288003
G,營運狀況,營業費用,,仟元,2020,71440
G,營運狀況,淨利,,仟元,2020,-17592
G,營運狀況,營業收入,,仟元,2019,388887
G,營運狀況,營業成本,,仟元,2019,327578
G,營運狀況,營業費用,,仟元,2019,89774
G,營運狀況,淨利,,仟元,2019,-55517
G,營運狀況,營業收入,,仟元,2018,440148
G,營運狀況,營業成本,,仟元,2018,332341
G,營運狀況,營業費用,,仟元,2018,80018
G,營運狀況,淨利,,仟元,2018,13018
