分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.5810000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.8330000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,11.528
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.7130000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,1.0230000000000006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,12.085000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,1.08
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,1.5290000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,15.450000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.9250000000000005
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,1.1609999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,13.339999999999998
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.05300000000000003
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,3.366
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.37600000000000017
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.139
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.038000000000000006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,11.111999999999997
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2018,0.025
E,空氣污染物申報-有害空氣污染物,乙苯,,,2018,0.02
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.10700000000000003
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,2.622
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.43500000000000016
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.03400000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,13.498000000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.5840000000000001
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,3.154000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.3510000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.023000000000000007
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,11.650999999999994
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.03300000000000001
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,2.7450000000000006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.3850000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.03500000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,19.637
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,2763.246000000001
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,125.36799999999997
E,環境違規,違反環境法規金額-misc,,元,2010,1200
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,1200
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,1200
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,1200
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2015,110000
E,環境違規,違反環境法規次數-misc,,次,2015,2
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2019,1200
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2021,30000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
G,資本額,資本額,,元,2020,757678630
G,資本額,資本額,,元,2019,757678630
G,營運狀況,營業收入,,仟元,2020,30051633
G,營運狀況,營業成本,,仟元,2020,27509744
G,營運狀況,營業費用,,仟元,2020,1899581
G,營運狀況,淨利,,仟元,2020,835463
G,營運狀況,營業收入,,仟元,2019,28723314
G,營運狀況,營業成本,,仟元,2019,26392587
G,營運狀況,營業費用,,仟元,2019,1919684
G,營運狀況,淨利,,仟元,2019,547499
G,營運狀況,營業收入,,仟元,2018,24092221
G,營運狀況,營業成本,,仟元,2018,22356340
G,營運狀況,營業費用,,仟元,2018,1674093
G,營運狀況,淨利,,仟元,2018,262959
G,營運狀況,營業收入,,仟元,2017,24551303
G,營運狀況,營業成本,,仟元,2017,22864420
G,營運狀況,營業費用,,仟元,2017,1629402
G,營運狀況,淨利,,仟元,2017,249647
G,營運狀況,營業收入,,仟元,2016,24976658
G,營運狀況,營業成本,,仟元,2016,23187028
G,營運狀況,營業費用,,仟元,2016,1533016
G,營運狀況,淨利,,仟元,2016,452959
