年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,132851.48,82.93,65880.92,86.84,66970.56,79.42,
2019,160191.23,100,75869.07,100,84322.16,100,
2018,157630.33,98.4,74339.06,97.98,83291.27,98.78,
2017,171837.73,107.27,80555.37,106.18,91282.36,108.25,
2016,164095.98,102.44,77133.46,101.67,86962.52,103.13,
2015,153951.11,96.1,71403.17,94.11,82547.94,97.9,
2014,182867.28,114.16,88702.16,116.91,94165.12,111.67,
2013,173056.1,108.03,85908.83,113.23,87147.27,103.35,
2021,119856.06,74.82,60989.44,80.39,58866.63,69.81,T
2022,106860.65,66.71,56097.95,73.94,50762.69,60.2,T
2023,93865.23,58.6,51206.47,67.49,42658.76,50.59,T
2024,80869.81,50.48,46314.99,61.05,34554.83,40.98,T
2025,67874.4,42.37,41423.5,54.6,26450.89,31.37,T
2026,54878.98,34.26,36532.02,48.15,18346.96,21.76,T
2027,41883.56,26.15,31640.54,41.7,10243.03,12.15,T
2028,28888.15,18.03,26749.05,35.26,2139.09,2.54,T
2029,15892.73,9.92,21857.57,28.81,0,0,T
2030,2897.31,1.81,16966.09,22.36,0,0,T
2031,0,0,12074.6,15.92,0,0,T
2032,0,0,7183.12,9.47,0,0,T
2033,0,0,2291.64,3.02,0,0,T
2034,0,0,0,0,0,0,T
2035,0,0,0,0,0,0,T
2036,0,0,0,0,0,0,T
2037,0,0,0,0,0,0,T
2038,0,0,0,0,0,0,T
2039,0,0,0,0,0,0,T
2040,0,0,0,0,0,0,T
2041,0,0,0,0,0,0,T
2042,0,0,0,0,0,0,T
2043,0,0,0,0,0,0,T
2044,0,0,0,0,0,0,T
2045,0,0,0,0,0,0,T
2046,0,0,0,0,0,0,T
2047,0,0,0,0,0,0,T
2048,0,0,0,0,0,0,T
2049,0,0,0,0,0,0,T
2050,0,0,0,0,0,0,T
