分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,1.5199999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,1.2730000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,1.685
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,1.499
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,1.4780000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1.5370000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.825
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.508
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.723
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,1.163
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.607
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.8140000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.41700000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.775
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.42900000000000005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.8320000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.485
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.698
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.407
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.08
E,空氣污染物申報-有害空氣污染物,重金屬,,,2018,0.002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.6990000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.371
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.129
E,空氣污染物申報-有害空氣污染物,重金屬,,,2019,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.8420000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.517
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.17700000000000002
E,空氣污染物申報-有害空氣污染物,重金屬,,,2020,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,1.054
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.7470000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.22999999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.2
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,0.9460000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,0.7110000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.186
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,0.208
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.226
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2023,0.16399999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.05600000000000001
G,資本額,資本額,,元,2020,603229800
G,資本額,資本額,,元,2019,603229800
G,營運狀況,營業收入,,仟元,2020,7708211
G,營運狀況,營業成本,,仟元,2020,5912129
G,營運狀況,營業費用,,仟元,2020,852303
G,營運狀況,淨利,,仟元,2020,662519
G,營運狀況,營業收入,,仟元,2019,6902688
G,營運狀況,營業成本,,仟元,2019,5457007
G,營運狀況,營業費用,,仟元,2019,869397
G,營運狀況,淨利,,仟元,2019,440038
G,營運狀況,營業收入,,仟元,2018,6712413
G,營運狀況,營業成本,,仟元,2018,5433045
G,營運狀況,營業費用,,仟元,2018,862786
G,營運狀況,淨利,,仟元,2018,357657
G,營運狀況,營業收入,,仟元,2017,5953969
G,營運狀況,營業成本,,仟元,2017,4558529
G,營運狀況,營業費用,,仟元,2017,791966
G,營運狀況,淨利,,仟元,2017,356961
G,營運狀況,營業收入,,仟元,2016,5783127
G,營運狀況,營業成本,,仟元,2016,4507491
G,營運狀況,營業費用,,仟元,2016,795543
G,營運狀況,淨利,,仟元,2016,324149
