分類,子分類,項目,來自公司報告,單位,年份,數值
G,資本額,資本額,,元,2020,1000062030
G,資本額,資本額,,元,2019,1000062030
G,營運狀況,營業收入,,仟元,2020,705983
G,營運狀況,營業成本,,仟元,2020,494227
G,營運狀況,營業費用,,仟元,2020,72468
G,營運狀況,淨利,,仟元,2020,134909
G,營運狀況,營業收入,,仟元,2019,1114421
G,營運狀況,營業成本,,仟元,2019,761389
G,營運狀況,營業費用,,仟元,2019,100015
G,營運狀況,淨利,,仟元,2019,256884
G,營運狀況,營業收入,,仟元,2018,1315255
G,營運狀況,營業成本,,仟元,2018,771546
G,營運狀況,營業費用,,仟元,2018,160441
G,營運狀況,淨利,,仟元,2018,379960
G,營運狀況,營業收入,,仟元,2017,355318
G,營運狀況,營業成本,,仟元,2017,257313
G,營運狀況,營業費用,,仟元,2017,103611
G,營運狀況,淨利,,仟元,2017,288332
G,營運狀況,營業收入,,仟元,2016,931424
G,營運狀況,營業成本,,仟元,2016,659586
G,營運狀況,營業費用,,仟元,2016,135637
G,營運狀況,淨利,,仟元,2016,446066
