分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,966
S,員工薪資,薪資中位數,,仟元,2020,907
S,員工薪資,平均薪資,,仟元,2019,1124
S,員工薪資,薪資中位數,,仟元,2019,1020
S,員工薪資,平均薪資,,仟元,2018,1099
G,資本額,資本額,,元,2020,1066920190
G,資本額,資本額,,元,2019,1066920190
G,營運狀況,營業收入,,仟元,2020,84091485
G,營運狀況,營業成本,,仟元,2020,64498302
G,營運狀況,營業費用,,仟元,2020,15919158
G,營運狀況,淨利,,仟元,2020,3155383
G,營運狀況,營業收入,,仟元,2019,81506216
G,營運狀況,營業成本,,仟元,2019,62753571
G,營運狀況,營業費用,,仟元,2019,15375298
G,營運狀況,淨利,,仟元,2019,3026308
G,營運狀況,營業收入,,仟元,2018,68962459
G,營運狀況,營業成本,,仟元,2018,53698549
G,營運狀況,營業費用,,仟元,2018,12323759
G,營運狀況,淨利,,仟元,2018,2868877
G,營運狀況,營業收入,,仟元,2017,34904064
G,營運狀況,營業成本,,仟元,2017,27175483
G,營運狀況,營業費用,,仟元,2017,5846468
G,營運狀況,淨利,,仟元,2017,1959804
G,營運狀況,營業收入,,仟元,2016,14471649
G,營運狀況,營業成本,,仟元,2016,11605074
G,營運狀況,營業費用,,仟元,2016,1308034
G,營運狀況,淨利,,仟元,2016,1388727
