分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.016
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.164
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2018,0.002
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,0.053000000000000005
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.009000000000000001
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,0.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,6.504
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2019,0.088
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2019,2.096
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.176
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,6.605
E,空氣污染物申報-有害空氣污染物,苯,,,2020,0.004
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2020,0.111
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2020,1.921
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.159
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,0.005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,3.4619999999999997
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2021,0.07400000000000001
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2021,1.17
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,0.076
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.002
E,環境違規,違反環境法規金額-misc,,元,2016,220000
E,環境違規,違反環境法規次數-misc,,次,2016,3
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2018,100000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,60000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,10000
E,環境違規,違反環境法規次數-水,,次,2019,1
G,資本額,資本額,,元,2020,251612780
G,資本額,資本額,,元,2019,251612780
G,營運狀況,營業收入,,仟元,2020,84179
G,營運狀況,營業成本,,仟元,2020,29594
G,營運狀況,營業費用,,仟元,2020,53066
G,營運狀況,淨利,,仟元,2020,5918
G,營運狀況,營業收入,,仟元,2019,86714
G,營運狀況,營業成本,,仟元,2019,37037
G,營運狀況,營業費用,,仟元,2019,61784
G,營運狀況,淨利,,仟元,2019,-9770
G,營運狀況,營業收入,,仟元,2018,100800
G,營運狀況,營業成本,,仟元,2018,43927
G,營運狀況,營業費用,,仟元,2018,67261
G,營運狀況,淨利,,仟元,2018,3899
