分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,尚未制訂。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,1.152
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.044000000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,1.13
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,1.272
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.193
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,4.282
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.29900000000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.007
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,7.126
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.194
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,5.442
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.17600000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,4.506
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.07899999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,1.2469999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.186
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,5.874
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.21600000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,4.539
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,1.636
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,0.32599999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.40900000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.032
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,12.924000000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,3.9840000000000004
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,1.192
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.09700000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,1.232
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.356
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,0.068
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.383
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.039
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,9.431000000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,2.227
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,0.464
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.181
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.018000000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,3.9960000000000004
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,1.368
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.192
E,環境違規,違反環境法規金額-misc,,元,2021,84000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,714
S,員工薪資,薪資中位數,,仟元,2020,615
S,員工薪資,平均薪資,,仟元,2019,689
S,員工薪資,薪資中位數,,仟元,2019,589
S,員工薪資,平均薪資,,仟元,2018,636
G,資本額,資本額,,元,2020,2211211880
G,資本額,資本額,,元,2019,2211211880
G,營運狀況,營業收入,,仟元,2020,6628124
G,營運狀況,營業成本,,仟元,2020,4186157
G,營運狀況,營業費用,,仟元,2020,1376872
G,營運狀況,淨利,,仟元,2020,892567
G,營運狀況,營業收入,,仟元,2019,6298976
G,營運狀況,營業成本,,仟元,2019,4054796
G,營運狀況,營業費用,,仟元,2019,1286657
G,營運狀況,淨利,,仟元,2019,888718
G,營運狀況,營業收入,,仟元,2018,5986090
G,營運狀況,營業成本,,仟元,2018,3948613
G,營運狀況,營業費用,,仟元,2018,1207907
G,營運狀況,淨利,,仟元,2018,799663
G,營運狀況,營業收入,,仟元,2017,5643859
G,營運狀況,營業成本,,仟元,2017,3735821
G,營運狀況,營業費用,,仟元,2017,1151959
G,營運狀況,淨利,,仟元,2017,720190
G,營運狀況,營業收入,,仟元,2016,5600848
G,營運狀況,營業成本,,仟元,2016,3775361
G,營運狀況,營業費用,,仟元,2016,1124430
G,營運狀況,淨利,,仟元,2016,701013
