分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,19152.859999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,21295.56
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,40448.42
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,20613.89
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,19015.17
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,39629.06
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,20381.21
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,22009.15
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,42390.36
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,19409.789999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,21935.74
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,41345.53
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,17611.62
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,21953.63
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,39565.25
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,15903.579
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,14295.798
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,30199.377
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,5.974
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,7.08
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,1.762
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.029
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,8.139
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,13.047999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,4.2749999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.036000000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,12.826
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,9.102
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,1.85
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.031
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,10.889
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,8.787
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,6.521999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.031
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,8.864
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,1.892
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.033999999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,11.155
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,5.901000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,4.349
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.020000000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,12.628
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,7.7940000000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,2.313
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.019000000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,4.703
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,1.419
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,2.4469999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.022
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,4.606999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,1.532
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.020999999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,4.714
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.9910000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.021
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,4.916
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.49599999999999994
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.016
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,5.626999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.154
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.013000000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,5.745
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.159
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.02
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,4.979
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,2.144
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,0.013000000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,2.561
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,1.1520000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,0.003
E,環境違規,違反環境法規金額-misc,,元,2011,10000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2014,0
E,環境違規,違反環境法規次數-misc,,次,2014,0
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,190000
E,環境違規,違反環境法規次數-水,,次,2014,1
E,環境違規,違反環境法規金額-misc,,元,2015,6000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,100000
E,環境違規,違反環境法規次數-空氣,,次,2015,1
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2018,240000
E,環境違規,違反環境法規次數-misc,,次,2018,2
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2020,60000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
G,資本額,資本額,,元,2020,1532500000
G,資本額,資本額,,元,2019,1532500000
