分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,14.87
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.303
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,56.067
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,51.486000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,12.738
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,27.533
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,53.442
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,34.585
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,30.037999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,28.146
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,13.472000000000001
E,環境違規,違反環境法規金額-misc,,元,2010,200000
E,環境違規,違反環境法規次數-misc,,次,2010,2
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,590000
E,環境違規,違反環境法規次數-misc,,次,2011,5
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,700000
E,環境違規,違反環境法規次數-misc,,次,2012,3
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,320000
E,環境違規,違反環境法規次數-水,,次,2012,1
E,環境違規,違反環境法規金額-misc,,元,2013,80000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2016,106000
E,環境違規,違反環境法規次數-misc,,次,2016,2
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
G,資本額,資本額,,元,2020,930330840
G,資本額,資本額,,元,2019,930330840
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,營運狀況,營業收入,,仟元,2020,381709
G,營運狀況,營業成本,,仟元,2020,335364
G,營運狀況,營業費用,,仟元,2020,37154
G,營運狀況,淨利,,仟元,2020,9503
G,營運狀況,營業收入,,仟元,2019,439977
G,營運狀況,營業成本,,仟元,2019,421032
G,營運狀況,營業費用,,仟元,2019,29805
G,營運狀況,淨利,,仟元,2019,6712
