分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,2.7220000000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,3.889
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.9149999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,3.449
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,4.852
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,1.175
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,3.4920000000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,5.035
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,1.149
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,2.0679999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,4.485
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,1.1620000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,7.315
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,1.396
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,5.601
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,8.075
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,3.2800000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,6.037
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,8.702
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,4.145
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,5.534000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,7.98
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,4.02
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,2.347
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,1.824
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,4.714
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,2.92
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,3.097
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.02
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,3.192
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,1.7750000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,1.3
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.039999999999999994
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,3.112
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,1.7650000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,1.415
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.043
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,2.814
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,1.44
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,1.369
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.040999999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,2.577
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,1.3890000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,1.31
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.039
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,2.559
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,1.017
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.508
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.015
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,0.9490000000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2023,0.314
G,資本額,資本額,,元,2020,307842690
G,資本額,資本額,,元,2019,307842690
G,營運狀況,營業收入,,仟元,2020,749504
G,營運狀況,營業成本,,仟元,2020,407630
G,營運狀況,營業費用,,仟元,2020,332983
G,營運狀況,淨利,,仟元,2020,24225
G,營運狀況,營業收入,,仟元,2019,906073
G,營運狀況,營業成本,,仟元,2019,505811
G,營運狀況,營業費用,,仟元,2019,390760
G,營運狀況,淨利,,仟元,2019,16197
G,營運狀況,營業收入,,仟元,2018,896346
G,營運狀況,營業成本,,仟元,2018,477226
G,營運狀況,營業費用,,仟元,2018,407138
G,營運狀況,淨利,,仟元,2018,5070
G,營運狀況,營業收入,,仟元,2017,973309
G,營運狀況,營業成本,,仟元,2017,514744
G,營運狀況,營業費用,,仟元,2017,433055
G,營運狀況,淨利,,仟元,2017,5942
