分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,46188.11
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,48956.91
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,95145.02
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,42434.200000000004
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,47049.87
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,89484.07
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,37172.47
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,47170.72
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,84343.19
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,71.85021944283531
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,35167.32
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,48232.57
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,83399.89
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,74.2592016042573
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,34538.28999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,45324.61
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,79862.9
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,73.12032226268434
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,31451.579999999994
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,42512.9
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,73964.48
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,67.54267571490108
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,30187.14
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,40742.72
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,70929.86
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,73.72472296163056
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,29922.58
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,38972.7
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,68895.28
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,1.每年度配合能源局節電目標。2.2022年公司目標為降低每噸輪胎製成耗能(天然氣、電)3%。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,僅有節電承諾
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,135.744
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,190.17000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,42.53
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,83.238
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,138.30000000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,183.05600000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,47.72200000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,83.45
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,141.882
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,216.19600000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,35.544000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,110.97399999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,106.965
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,184.827
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,44.772
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,108.39200000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,108.44699999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,43.252
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,115.38799999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,62.50899999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,37.552
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,24.153999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,145.21400000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,41.441
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.069
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,21.044999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,149.65200000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,42.486999999999995
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.4970000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,129.94799999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,39.837
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.468
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,126.96799999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,41.842
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.012
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.3380000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,122.017
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,47.061
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.048
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.4950000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,129.80300000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,47.243
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.03
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,1.0280000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,126.07099999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,49.230000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,1.1429999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,140.84499999999997
E,空氣污染物申報-有害空氣污染物,苯,,,2021,0.002
E,空氣污染物申報-有害空氣污染物,乙苯,,,2021,0.017
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,0.001
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.313
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,43.464000000000006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,1.0920000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,134.74300000000002
E,空氣污染物申報-有害空氣污染物,苯,,,2022,0.007
E,空氣污染物申報-有害空氣污染物,乙苯,,,2022,0.057999999999999996
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,0.004
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2022,1.146
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,16.24
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.444
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,59.242
