分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,227.45
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,13498.83
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,0
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,13726.28
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,209.7
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,13701.91
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,408.3804291285096
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,13911.61
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2019,175.09
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2019,14167.2
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2019,394.0476435784473
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2019,14342.29
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2018,183.71
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2018,14482.21
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2018,390.134382422629
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2018,14665.919999999998
E,能源使用狀況,總用電量,true,,2021,NA
E,能源使用狀況,再生能源設置量,true,,2021,NA
E,能源使用狀況,再生能源發電量,true,,2021,NA
E,能源使用狀況,總用電量,true,,2020,無揭露
E,能源使用狀況,再生能源設置量,true,,2020,NA
E,能源使用狀況,再生能源發電量,true,,2020,NA
E,能源使用狀況,總用電量,true,,2019,無揭露
E,能源使用狀況,再生能源設置量,true,,2019,NA
E,能源使用狀況,再生能源發電量,true,,2019,NA
E,能源使用狀況,總用電量,true,,2018,無揭露
E,能源使用狀況,再生能源設置量,true,,2018,NA
E,能源使用狀況,再生能源發電量,true,,2018,NA
