分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2005,323996.42
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2005,32861.63
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2005,356858.05
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2008,321788.86
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2008,30992.57
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2008,352781.43
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2009,325737.64
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2009,31348.61
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2009,357086.25
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2010,398436.39
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2010,89546.76999999999
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2010,487983.16000000003
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2011,318074.05000000005
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2011,32181.16
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2011,350255.21
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2012,326104.79000000004
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2012,36733.09
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2012,362837.88
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,435887.66
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,77691.1
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,513578.76
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,432499.2299999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,95171.79
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,527671.0199999999
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,426324.69000000006
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,88660.97
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,514985.66000000003
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,431067.72
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,110794.52
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,541862.24
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,650716.17
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,61990.94
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,712707.1100000001
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,671789.89
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,53810.25
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,725600.14
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,706122.93
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,39591.08
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,745714.01
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,636584.8300000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,49514.83
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,686099.66
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,501246.07889999996
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,60678.2321
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,561924.311
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,382.076
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,1084.8850000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,70.98900000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,44.336
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,407.3229999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,1043.3899999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,83.62600000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,37.989999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,460.98699999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1191.1280000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,49.373
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,34.809
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,409.19300000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,905.7480000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,52.653000000000006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,27.709000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,268.407
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,474.558
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,39.059
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,25.445
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,284.71999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,271.488
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,34.617999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,24.642999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,256.356
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,246.66700000000006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,40.944
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,21.544000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,281.79900000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,258.67499999999995
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,41.428000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,17.4
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,289.123
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,296.377
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,51.68600000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,13.584000000000001
E,空氣污染物申報-有害空氣污染物,苯,,,2017,0.11599999999999999
E,空氣污染物申報-有害空氣污染物,乙苯,,,2017,0.019999999999999997
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2017,0.004
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,2.4149999999999996
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,0.099
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,271.36999999999995
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,196.187
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,52.163000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,15.266000000000002
E,空氣污染物申報-有害空氣污染物,苯,,,2018,0.139
E,空氣污染物申報-有害空氣污染物,乙苯,,,2018,0.022
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,0.004
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,2.4259999999999997
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,0.118
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2018,0.014
