分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2012,1069.29
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2012,5200.61
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2012,6269.9
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,1.653
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.653
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.172
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,41.108
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,1.746
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.797
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,0.16699999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,94.93499999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,2.011
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.30500000000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,0.14700000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,111.506
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,1.4720000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.14400000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.126
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,47.32599999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,1.983
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.256
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.504
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,48.852
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,1.933
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.255
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.128
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,44.52
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,1.8499999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.242
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.062
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,46.36599999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,1.7519999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.23199999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.016999999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,38.77
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,1.686
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.219
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.018000000000000002
