分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,本公司以「溫室氣體排放密集度」作為溫室氣體管理指標，並設定109年為溫室氣體管理基準年，規劃達成溫室氣體排放密集度至114年下降10%為目標。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,27.098999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,33.818
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,8.263000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,10.68
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,12.498
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,4.624999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,15.279000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,18.131000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,8.751999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,18.532
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,21.581999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,8.402000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,14.251000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,17.495999999999995
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,4.114
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,25.694000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,30.584
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,7.463
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.02
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,7.380000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,6.148
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,5.882
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,6.3100000000000005
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,5.054
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,9.054
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,5.965999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,4.3020000000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,7.269
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,6.400000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,6.494999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,2.201
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,3.7489999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,3.531
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,4.2509999999999994
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,10.622
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,4.617
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,2.634
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2020,0.006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,2.407
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.861
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.682
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2021,0.002
E,環境違規,違反環境法規金額-misc,,元,2011,16000
E,環境違規,違反環境法規次數-misc,,次,2011,2
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,6000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2015,0
E,環境違規,違反環境法規次數-misc,,次,2015,0
E,環境違規,違反環境法規金額-空氣,,元,2015,100000
E,環境違規,違反環境法規次數-空氣,,次,2015,1
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2018,0
E,環境違規,違反環境法規次數-misc,,次,2018,0
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,6000
E,環境違規,違反環境法規次數-水,,次,2018,1
E,環境違規,違反環境法規金額-misc,,元,2020,78000
E,環境違規,違反環境法規次數-misc,,次,2020,3
E,環境違規,違反環境法規金額-空氣,,元,2020,100000
E,環境違規,違反環境法規次數-空氣,,次,2020,1
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
S,員工薪資,平均薪資,,仟元,2020,748
S,員工薪資,薪資中位數,,仟元,2020,641
S,員工薪資,平均薪資,,仟元,2019,690
S,員工薪資,薪資中位數,,仟元,2019,588
S,員工薪資,平均薪資,,仟元,2018,655
G,資本額,資本額,,元,2020,4999990380
G,資本額,資本額,,元,2019,4999990380
G,營運狀況,營業收入,,仟元,2020,8356125
G,營運狀況,營業成本,,仟元,2020,6715645
G,營運狀況,營業費用,,仟元,2020,1323957
G,營運狀況,淨利,,仟元,2020,851541
G,營運狀況,營業收入,,仟元,2019,8000584
G,營運狀況,營業成本,,仟元,2019,6545893
G,營運狀況,營業費用,,仟元,2019,1295263
G,營運狀況,淨利,,仟元,2019,582201
G,營運狀況,營業收入,,仟元,2018,7901670
G,營運狀況,營業成本,,仟元,2018,6468636
G,營運狀況,營業費用,,仟元,2018,1341737
G,營運狀況,淨利,,仟元,2018,464682
G,營運狀況,營業收入,,仟元,2017,7681801
G,營運狀況,營業成本,,仟元,2017,6350437
G,營運狀況,營業費用,,仟元,2017,1368037
G,營運狀況,淨利,,仟元,2017,317272
G,營運狀況,營業收入,,仟元,2016,8110827
G,營運狀況,營業成本,,仟元,2016,6683995
G,營運狀況,營業費用,,仟元,2016,1276107
G,營運狀況,淨利,,仟元,2016,121608
