分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,本公司能源以天然氣、柴油與外購電力為主，以2022年達到減碳1％為目標。
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,42.742
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,63.827
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,7.360999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,37.326
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,59.56099999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,73.27700000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,7.5840000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,59.949000000000005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,12.296
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,17.62
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,9.68
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,15.196
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,29.269
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,45.888999999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,12.65
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,19.412
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,27.073999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,37.601
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,5.024
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,9.668000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,26.799999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,33.427
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,3.0949999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,9.096
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,56.702
