分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2013,232078.63
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2013,232078.63
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,301352.02
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,301352.02
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,230509.3
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,230509.3
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,187116.1
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,187116.1
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,233932.84
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,233932.84
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,286502.1
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,286502.1
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,195502.59
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,195502.59
S,員工薪資,平均薪資,仟元,2020,560
S,員工薪資,薪資中位數,仟元,2020,546
S,員工薪資,平均薪資,仟元,2019,497
S,員工薪資,薪資中位數,仟元,2019,478
S,員工薪資,平均薪資,仟元,2018,513
S,員工薪資,薪資中位數,仟元,2018,NaN
