分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,32529.44
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,16255.2
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,48784.64
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,31189.619999999995
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,14658.97
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,45848.59
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,27736.73
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,12734.09
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,40470.82
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,26637.260000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,13117.17
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,39754.43
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,30606.11
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,14908.44
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,45514.55
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,33077.81
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,14683.02
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,47760.83
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,34984.56
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,14249.77
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,49234.33
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,25822.82
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,10637.97
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,36460.79
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,24.864
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,37.427
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,2.545
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,23.405
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,38.786
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,2.484
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,22.316000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,14.844999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,2.179
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,22.031999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,12.226999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,2.551
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,26.492
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,25.563
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,2.911
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,32.229
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,35.686
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,3.856
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,33.072
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,44.837
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,4.116
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,29.456000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,39.604
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,3.675
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,25.215000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,34.207
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,2.4610000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,25.721
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,34.058
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,2.77
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,24.676
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,29.96
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,3.546
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,24.77
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,28.442999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,4.643
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2020,0.001
E,空氣污染物申報-有害空氣污染物,重金屬,,,2020,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,17.543999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,18.697
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,3.3750000000000004
E,空氣污染物申報-有害空氣污染物,重金屬,,,2021,0.001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,12.651
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,12.641
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,2.425
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,0.606
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,0.088
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2022,0.201
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,21.467
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2023,32.02
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,4.57
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,0.443
E,空氣污染物申報-有害空氣污染物,甲苯,,,2023,0.052
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2023,0.151
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2023,0.001
E,空氣污染物申報-有害空氣污染物,重金屬,,,2023,0.002
E,環境違規,違反環境法規金額-misc,,元,2016,100000
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2018,0
E,環境違規,違反環境法規次數-misc,,次,2018,0
E,環境違規,違反環境法規金額-空氣,,元,2018,100000
E,環境違規,違反環境法規次數-空氣,,次,2018,1
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,0
E,環境違規,違反環境法規次數-misc,,次,2019,0
E,環境違規,違反環境法規金額-空氣,,元,2019,100000
E,環境違規,違反環境法規次數-空氣,,次,2019,1
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
G,資本額,資本額,,元,2020,320000000
G,資本額,資本額,,元,2019,320000000
