分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
S,員工薪資,平均薪資,,仟元,2020,1552
S,員工薪資,薪資中位數,,仟元,2020,1345
S,員工薪資,平均薪資,,仟元,2019,1436
S,員工薪資,薪資中位數,,仟元,2019,1229
S,員工薪資,平均薪資,,仟元,2018,1363
G,資本額,資本額,,元,2020,1905866980
G,資本額,資本額,,元,2019,1905866980
G,營運狀況,營業收入,,仟元,2020,35836642
G,營運狀況,營業成本,,仟元,2020,30152496
G,營運狀況,營業費用,,仟元,2020,1063500
G,營運狀況,淨利,,仟元,2020,4091332
G,營運狀況,營業收入,,仟元,2019,23920633
G,營運狀況,營業成本,,仟元,2019,19569393
G,營運狀況,營業費用,,仟元,2019,943942
G,營運狀況,淨利,,仟元,2019,2893881
G,營運狀況,營業收入,,仟元,2018,18127934
G,營運狀況,營業成本,,仟元,2018,14944493
G,營運狀況,營業費用,,仟元,2018,811341
G,營運狀況,淨利,,仟元,2018,2274169
G,營運狀況,營業收入,,仟元,2017,12525918
G,營運狀況,營業成本,,仟元,2017,10291404
G,營運狀況,營業費用,,仟元,2017,624163
G,營運狀況,淨利,,仟元,2017,1341764
G,營運狀況,營業收入,,仟元,2016,15426851
G,營運狀況,營業成本,,仟元,2016,13046338
G,營運狀況,營業費用,,仟元,2016,665440
G,營運狀況,淨利,,仟元,2016,1585347
