分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,公司目前針對一般半導體製程所使用的全氟化物(PFCs)及電力逐步進行減量，以有效降低溫室氣體排放量。
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,1.322
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.549
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,7.001999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,1.6479999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.6540000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,10.502
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,1.577
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.588
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,7.859
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,1.4429999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.584
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,4.244
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,1.104
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.41800000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,5.279000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.249
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.040999999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,4.094
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,1.8719999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.479
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,10.753999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,1.6249999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.627
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,9.725
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,1.3969999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.406
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,10.967999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,1.5140000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.37900000000000006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.032
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,41.60000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,1.496
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.386
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.10000000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,49.120999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,1.7100000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.44300000000000006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.11700000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,54.599
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.8480000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.21100000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.05800000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,43.561
E,環境違規,違反環境法規金額-misc,,元,2011,0
E,環境違規,違反環境法規次數-misc,,次,2011,0
E,環境違規,違反環境法規金額-空氣,,元,2011,100000
E,環境違規,違反環境法規次數-空氣,,次,2011,1
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
S,員工薪資,平均薪資,,仟元,2020,807
S,員工薪資,薪資中位數,,仟元,2020,723
S,員工薪資,平均薪資,,仟元,2019,770
S,員工薪資,薪資中位數,,仟元,2019,689
S,員工薪資,平均薪資,,仟元,2018,849
G,資本額,資本額,,元,2020,3306664110
G,資本額,資本額,,元,2019,3306664110
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
