分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
S,員工薪資,平均薪資,,仟元,2020,831
S,員工薪資,薪資中位數,,仟元,2020,799
S,員工薪資,平均薪資,,仟元,2019,853
S,員工薪資,薪資中位數,,仟元,2019,815
S,員工薪資,平均薪資,,仟元,2018,757
G,資本額,資本額,,元,2020,623662750
G,資本額,資本額,,元,2019,623662750
G,營運狀況,營業收入,,仟元,2020,1065712
G,營運狀況,營業成本,,仟元,2020,898525
G,營運狀況,營業費用,,仟元,2020,230251
G,營運狀況,淨利,,仟元,2020,-47675
G,營運狀況,營業收入,,仟元,2019,1199975
G,營運狀況,營業成本,,仟元,2019,1022630
G,營運狀況,營業費用,,仟元,2019,261043
G,營運狀況,淨利,,仟元,2019,-65332
G,營運狀況,營業收入,,仟元,2018,1512034
G,營運狀況,營業成本,,仟元,2018,1314654
G,營運狀況,營業費用,,仟元,2018,280215
G,營運狀況,淨利,,仟元,2018,-29313
G,營運狀況,營業收入,,仟元,2017,1189830
G,營運狀況,營業成本,,仟元,2017,1002731
G,營運狀況,營業費用,,仟元,2017,280526
G,營運狀況,淨利,,仟元,2017,-97702
G,營運狀況,營業收入,,仟元,2016,645642
G,營運狀況,營業成本,,仟元,2016,520508
G,營運狀況,營業費用,,仟元,2016,268680
G,營運狀況,淨利,,仟元,2016,-84925
