年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,570136.91,94.63,239648.82,95.93,330488.09,93.7,
2021,705756.77,117.14,298140.17,119.35,407616.6,115.57,
2020,579292.96,96.15,239075.27,95.7,340217.69,96.46,
2019,602504.05,100,249808.54,100,352695.51,100,
2018,682538.08,113.28,290430.03,116.26,392108.05,111.17,
2017,728856.47,120.97,307090.82,122.93,421765.65,119.58,
2016,648669.91,107.66,279589.65,111.92,369080.26,104.65,
2015,553965.56,91.94,232728.38,93.16,321237.18,91.08,
2014,652454.58,108.29,280140.34,112.14,372314.24,105.56,
2013,647033.51,107.39,281080,112.52,365953.51,103.76,
2023,559347.86,92.84,236262.25,94.58,323085.62,91.6,T
2024,548558.82,91.05,232875.67,93.22,315683.14,89.51,T
2025,537769.77,89.26,229489.1,91.87,308280.67,87.41,T
2026,526980.73,87.47,226102.53,90.51,300878.2,85.31,T
2027,516191.68,85.67,222715.96,89.15,293475.72,83.21,T
2028,505402.63,83.88,219329.38,87.8,286073.25,81.11,T
2029,494613.59,82.09,215942.81,86.44,278670.78,79.01,T
2030,483824.54,80.3,212556.24,85.09,271268.3,76.91,T
2031,473035.49,78.51,209169.66,83.73,263865.83,74.81,T
2032,462246.45,76.72,205783.09,82.38,256463.36,72.72,T
2033,451457.4,74.93,202396.52,81.02,249060.88,70.62,T
2034,440668.35,73.14,199009.94,79.66,241658.41,68.52,T
2035,429879.31,71.35,195623.37,78.31,234255.94,66.42,T
2036,419090.26,69.56,192236.8,76.95,226853.46,64.32,T
2037,408301.22,67.77,188850.23,75.6,219450.99,62.22,T
2038,397512.17,65.98,185463.65,74.24,212048.52,60.12,T
2039,386723.12,64.19,182077.08,72.89,204646.04,58.02,T
2040,375934.08,62.4,178690.51,71.53,197243.57,55.92,T
2041,365145.03,60.6,175303.93,70.18,189841.1,53.83,T
2042,354355.98,58.81,171917.36,68.82,182438.62,51.73,T
2043,343566.94,57.02,168530.79,67.46,175036.15,49.63,T
2044,332777.89,55.23,165144.21,66.11,167633.68,47.53,T
2045,321988.85,53.44,161757.64,64.75,160231.2,45.43,T
2046,311199.8,51.65,158371.07,63.4,152828.73,43.33,T
2047,300410.75,49.86,154984.5,62.04,145426.26,41.23,T
2048,289621.71,48.07,151597.92,60.69,138023.78,39.13,T
2049,278832.66,46.28,148211.35,59.33,130621.31,37.04,T
2050,268043.61,44.49,144824.78,57.97,123218.84,34.94,T
