分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,27011
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,38896
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,NA
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,1179.0601831088138
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,65907
E,能源使用狀況,總用電量,true,度,2020,31950555.56
E,能源使用狀況,再生能源設置量,true,,2020,NA
E,能源使用狀況,再生能源發電量,true,,2020,NA
E,能源使用狀況,能源密集度,true,度/億元,2020,571587.65971751
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,"燁興企業對於節能減碳始終不遺餘力，相關改善方案110年節省電力903,201度，總計減碳量為623.2公噸CO2-e/年。 本公司依據ISO 50001 能源管理系統之管理政策，特訂定「全員參與、持續改善、節能減廢、關懷環境」之能源宣言，持續推動多項節能改善方案並維持能源管理系統有效運作及改善能源績效，達到節能減碳及善盡社會責任之目標。"
E,水資源,總取水量,true,噸,2020,166513
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,,2020,無揭露
E,水資源,排放水量,true,,2020,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2020,4744
E,廢棄物管理,有害事業廢棄物,true,,2020,無揭露
E,廢棄物管理,資源化再利用,true,,2020,無揭露
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,12.861000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.666
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,1.102
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,32.74100000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,11.501
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,0.555
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,33.714
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,13.414000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,0.777
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,34.471
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,13.496
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.848
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,17.534
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,14.373999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,1.9359999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,29.415
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,34.50500000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,1.9949999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,24.711000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,20.639
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,1.754
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,15.003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,11.607
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,1.044
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,32.625
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,31.091
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,1.8379999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,40.56400000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,33.692
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,2.797
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,41.45300000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,37.413999999999994
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,2.828
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,28.785999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,20.345
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,1.7299999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,19.496
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,9.975000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.963
E,環境違規,違反環境法規金額-misc,,元,2010,800000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2016,6000
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
S,員工組成,正式員工,true,人,2020,419
S,員工組成,性別比,true,人,2020,8.522727272727273
S,員工組成,新進率,true,人,2020,0.06136363636363636
S,員工組成,離職率,true,人,2020,0.07954545454545454
S,員工組成,是否聘用移工,true,人,2020,無揭露
S,員工組成,是否聘用身障人士,true,人,2020,無揭露
S,員工組成,是否聘用原住民,true,人,2020,無揭露
S,員工薪資,平均薪資,,仟元,2020,561
S,員工薪資,薪資中位數,,仟元,2020,528
S,員工薪資,平均薪資,,仟元,2019,564
S,員工薪資,薪資中位數,,仟元,2019,530
S,員工薪資,平均薪資,,仟元,2018,627
S,職業健康,職災事故,true,,2020,0
S,職業健康,工安意外,true,,2020,無揭露
G,資本額,資本額,,元,2020,5306516130
G,資本額,資本額,,元,2019,5306516130
G,是否產製CSR報告,是否編撰報告書,true,,,有
G,營運狀況,營業收入,,仟元,2020,5589791
G,營運狀況,營業成本,,仟元,2020,5753100
G,營運狀況,營業費用,,仟元,2020,190304
G,營運狀況,淨利,,仟元,2020,-484760
G,營運狀況,營業收入,,仟元,2019,6552804
G,營運狀況,營業成本,,仟元,2019,6787922
G,營運狀況,營業費用,,仟元,2019,242562
G,營運狀況,淨利,,仟元,2019,-652969
G,營運狀況,營業收入,,仟元,2018,8741762
G,營運狀況,營業成本,,仟元,2018,8350274
G,營運狀況,營業費用,,仟元,2018,251286
G,營運狀況,淨利,,仟元,2018,10865
G,營運狀況,營業收入,,仟元,2017,7993007
G,營運狀況,營業成本,,仟元,2017,7725760
G,營運狀況,營業費用,,仟元,2017,254318
G,營運狀況,淨利,,仟元,2017,-184748
G,營運狀況,營業收入,,仟元,2016,7272512
G,營運狀況,營業成本,,仟元,2016,7074277
G,營運狀況,營業費用,,仟元,2016,235513
G,營運狀況,淨利,,仟元,2016,-256695
G,稅務透明度,營利事業所得稅稅額,true,元,2020,無揭露
G,稅務透明度,政府補助、補貼金額,true,元,2020,無揭露
G,稅務透明度,研發投入費用,true,元,2020,無揭露
G,ISO認證,ISO 9001,true,,2020,有
G,ISO認證,ISO 14001,true,,2020,有
G,ISO認證,ISO 45001,true,,2020,有
G,ISO認證,ISO 50001,true,,2020,有
