年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,129159.32,97.47,62047.63,97.79,67111.69,97.19,
2019,132505.89,100,63451.29,100,69054.6,100,
2018,139222.56,105.07,60782.02,95.79,78440.54,113.59,
2017,152153.77,114.83,65764.34,103.65,86389.43,125.1,
2016,135116.66,101.97,50771.83,80.02,84344.83,122.14,
2015,120133.51,90.66,43594.03,68.7,76539.48,110.84,
2014,128327.26,96.85,47373.86,74.66,80953.4,117.23,
2021,121494.5,91.69,60808.73,95.84,60685.78,87.88,T
2022,113829.69,85.91,59569.82,93.88,54259.86,78.58,T
2023,106164.87,80.12,58330.92,91.93,47833.95,69.27,T
2024,98500.05,74.34,57092.02,89.98,41408.04,59.96,T
2025,90835.24,68.55,55853.11,88.03,34982.12,50.66,T
2026,83170.42,62.77,54614.21,86.07,28556.21,41.35,T
2027,75505.6,56.98,53375.31,84.12,22130.3,32.05,T
2028,67840.79,51.2,52136.4,82.17,15704.38,22.74,T
2029,60175.97,45.41,50897.5,80.22,9278.47,13.44,T
2030,52511.15,39.63,49658.6,78.26,2852.56,4.13,T
2031,44846.34,33.84,48419.69,76.31,0,0,T
2032,37181.52,28.06,47180.79,74.36,0,0,T
2033,29516.7,22.28,45941.89,72.4,0,0,T
2034,21851.89,16.49,44702.98,70.45,0,0,T
2035,14187.07,10.71,43464.08,68.5,0,0,T
2036,6522.25,4.92,42225.18,66.55,0,0,T
2037,0,0,40986.27,64.59,0,0,T
2038,0,0,39747.37,62.64,0,0,T
2039,0,0,38508.47,60.69,0,0,T
2040,0,0,37269.56,58.74,0,0,T
2041,0,0,36030.66,56.78,0,0,T
2042,0,0,34791.76,54.83,0,0,T
2043,0,0,33552.85,52.88,0,0,T
2044,0,0,32313.95,50.93,0,0,T
2045,0,0,31075.05,48.97,0,0,T
2046,0,0,29836.14,47.02,0,0,T
2047,0,0,28597.24,45.07,0,0,T
2048,0,0,27358.34,43.12,0,0,T
2049,0,0,26119.43,41.16,0,0,T
2050,0,0,24880.53,39.21,0,0,T
