分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,13.641
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,14.112
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,16.938000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,19.519
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.12
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,23.049
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.18000000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,18.209
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,20.323
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.122
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,29.477
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.10300000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,22.825
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,9.536
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.14
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,30.005000000000003
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,15.306
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.071
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,25.392
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,11.634
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.097
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,41.929
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,16.379
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.114
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,49.019999999999996
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,19.113
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.05
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,17.329
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,5.677
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.041999999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,12.722999999999999
E,空氣污染物申報-有害空氣污染物,甲苯,,,2023,4.673
E,環境違規,違反環境法規金額-misc,,元,2011,6000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,60000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,100000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,100000
E,環境違規,違反環境法規次數-空氣,,次,2013,1
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2020,100000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
E,環境違規,違反環境法規金額-misc,,元,2021,60000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
E,環境違規,違反環境法規金額-misc,,元,2023,60000
E,環境違規,違反環境法規次數-misc,,次,2023,1
E,環境違規,違反環境法規金額-空氣,,元,2023,0
E,環境違規,違反環境法規次數-空氣,,次,2023,0
E,環境違規,違反環境法規金額-水,,元,2023,0
E,環境違規,違反環境法規次數-水,,次,2023,0
S,員工薪資,平均薪資,,仟元,2020,861
S,員工薪資,薪資中位數,,仟元,2020,593
S,員工薪資,平均薪資,,仟元,2019,781
S,員工薪資,薪資中位數,,仟元,2019,530
S,員工薪資,平均薪資,,仟元,2018,844
G,資本額,資本額,,元,2020,690162000
G,資本額,資本額,,元,2019,690162000
