分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,本公司目前將持續執行溫室氣體減量，以達到節省能源降低污染之環保目標，相關方案如下:(1)定期檢修或汰換高耗能設備，並持續推動節約能源措施，以降低公司營運對自然環境之衝擊。(2)更換高效率LED照明系統並定期對辦公室用電較大之空調設備進行維護保養與節能規劃，達到降低電力使用量與二氧化碳排放量。(3)持續鼓勵全體員工參與節能減碳活動，培養人員養成習慣，以減少溫室氣體排放。(4)遵行環保法規及其他相關規定。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,7.494
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,0.012000000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,35.62
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,0.121
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,30.157
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.20800000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,25.913
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.3
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,30.584
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.18
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,35.57600000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.10300000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,23.204
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.016
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,10.85
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,22.552999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.103
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,27.251
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,8.274000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.054
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,25.480999999999998
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,6.907
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.036000000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,30.482999999999997
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,9.445000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.013000000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,17.581999999999997
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,3.881
E,環境違規,違反環境法規金額-misc,,元,2011,1500
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2013,200000
E,環境違規,違反環境法規次數-misc,,次,2013,2
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2020,100000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
S,員工薪資,平均薪資,,仟元,2020,607
S,員工薪資,薪資中位數,,仟元,2020,568
S,員工薪資,平均薪資,,仟元,2019,597
S,員工薪資,薪資中位數,,仟元,2019,558
S,員工薪資,平均薪資,,仟元,2018,603
G,資本額,資本額,,元,2020,600416800
G,資本額,資本額,,元,2019,600416800
