分類,子分類,項目,來自公司報告,單位,年份,數值
G,營運狀況,營業收入,,仟元,2020,1181611
G,營運狀況,營業成本,,仟元,2020,888273
G,營運狀況,營業費用,,仟元,2020,238857
G,營運狀況,淨利,,仟元,2020,27288
G,營運狀況,營業收入,,仟元,2019,1795565
G,營運狀況,營業成本,,仟元,2019,1357944
G,營運狀況,營業費用,,仟元,2019,324601
G,營運狀況,淨利,,仟元,2019,52296
G,營運狀況,營業收入,,仟元,2018,2191727
G,營運狀況,營業成本,,仟元,2018,1582969
G,營運狀況,營業費用,,仟元,2018,389374
G,營運狀況,淨利,,仟元,2018,164086
G,營運狀況,營業收入,,仟元,2017,2073289
G,營運狀況,營業成本,,仟元,2017,1461181
G,營運狀況,營業費用,,仟元,2017,380229
G,營運狀況,淨利,,仟元,2017,159915
G,營運狀況,營業收入,,仟元,2016,2009440
G,營運狀況,營業成本,,仟元,2016,1425168
G,營運狀況,營業費用,,仟元,2016,327522
G,營運狀況,淨利,,仟元,2016,162835
