分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2018,6000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,75000
E,環境違規,違反環境法規次數-misc,,次,2019,2
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2020,10000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,60000
E,環境違規,違反環境法規次數-水,,次,2020,1
S,員工薪資,平均薪資,,仟元,2020,783
S,員工薪資,薪資中位數,,仟元,2020,739
S,員工薪資,平均薪資,,仟元,2019,747
S,員工薪資,薪資中位數,,仟元,2019,704
S,員工薪資,平均薪資,,仟元,2018,761
G,資本額,資本額,,元,2020,2852449440
G,資本額,資本額,,元,2019,2852449440
G,營運狀況,營業收入,,仟元,2020,3834898
G,營運狀況,營業成本,,仟元,2020,3234290
G,營運狀況,營業費用,,仟元,2020,287190
G,營運狀況,淨利,,仟元,2020,242758
G,營運狀況,營業收入,,仟元,2019,1631542
G,營運狀況,營業成本,,仟元,2019,1152499
G,營運狀況,營業費用,,仟元,2019,308782
G,營運狀況,淨利,,仟元,2019,94338
G,營運狀況,營業收入,,仟元,2018,2265460
G,營運狀況,營業成本,,仟元,2018,1575957
G,營運狀況,營業費用,,仟元,2018,327490
G,營運狀況,淨利,,仟元,2018,234147
G,營運狀況,營業收入,,仟元,2017,4236339
G,營運狀況,營業成本,,仟元,2017,3367009
G,營運狀況,營業費用,,仟元,2017,362530
G,營運狀況,淨利,,仟元,2017,333652
G,營運狀況,營業收入,,仟元,2016,2023009
G,營運狀況,營業成本,,仟元,2016,1358972
G,營運狀況,營業費用,,仟元,2016,271827
G,營運狀況,淨利,,仟元,2016,269168
