分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,公司已統計過去兩年溫室氣體排放量、用水量及廢棄物總重量，目前透過定期檢視、節能成效追蹤及改善作業導入等持續提升產線能源效率，逐步推展廠內節能的措施與設備，並請廠內同仁齊心努力，要求節約用水用電之生活習慣養成，以減少能源浪費為首要目標。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.21300000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,1.007
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.387
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,1.162
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.206
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,2.827
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.168
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,1.0450000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,1.876
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.139
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,4.707
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,0.29300000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.013000000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,2.843
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.094
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,1.752
S,員工薪資,平均薪資,,仟元,2020,717
S,員工薪資,薪資中位數,,仟元,2020,549
S,員工薪資,平均薪資,,仟元,2019,876
S,員工薪資,薪資中位數,,仟元,2019,647
S,員工薪資,平均薪資,,仟元,2018,854
G,資本額,資本額,,元,2020,1162790000
G,資本額,資本額,,元,2019,1162790000
