分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
S,員工薪資,平均薪資,,仟元,2020,1220
S,員工薪資,薪資中位數,,仟元,2020,1041
S,員工薪資,平均薪資,,仟元,2019,1153
S,員工薪資,薪資中位數,,仟元,2019,1018
S,員工薪資,平均薪資,,仟元,2018,1075
G,資本額,資本額,,元,2020,2448297940
G,資本額,資本額,,元,2019,2448297940
G,營運狀況,營業收入,,仟元,2020,108522967
G,營運狀況,營業成本,,仟元,2020,105596512
G,營運狀況,營業費用,,仟元,2020,1623386
G,營運狀況,淨利,,仟元,2020,697196
G,營運狀況,營業收入,,仟元,2019,96876837
G,營運狀況,營業成本,,仟元,2019,94043025
G,營運狀況,營業費用,,仟元,2019,1656820
G,營運狀況,淨利,,仟元,2019,368219
G,營運狀況,營業收入,,仟元,2018,80259405
G,營運狀況,營業成本,,仟元,2018,77716731
G,營運狀況,營業費用,,仟元,2018,1650843
G,營運狀況,淨利,,仟元,2018,243627
G,營運狀況,營業收入,,仟元,2017,75985431
G,營運狀況,營業成本,,仟元,2017,73507329
G,營運狀況,營業費用,,仟元,2017,1568882
G,營運狀況,淨利,,仟元,2017,363682
G,營運狀況,營業收入,,仟元,2016,75728589
G,營運狀況,營業成本,,仟元,2016,73433110
G,營運狀況,營業費用,,仟元,2016,1655396
G,營運狀況,淨利,,仟元,2016,237649
