分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,772
S,員工薪資,薪資中位數,,仟元,2020,704
S,員工薪資,平均薪資,,仟元,2019,755
S,員工薪資,薪資中位數,,仟元,2019,681
S,員工薪資,平均薪資,,仟元,2018,743
G,資本額,資本額,,元,2020,988563110
G,資本額,資本額,,元,2019,988563110
G,營運狀況,營業收入,,仟元,2020,849824
G,營運狀況,營業成本,,仟元,2020,520434
G,營運狀況,營業費用,,仟元,2020,290422
G,營運狀況,淨利,,仟元,2020,34861
G,營運狀況,營業收入,,仟元,2019,623090
G,營運狀況,營業成本,,仟元,2019,409231
G,營運狀況,營業費用,,仟元,2019,249700
G,營運狀況,淨利,,仟元,2019,-17171
G,營運狀況,營業收入,,仟元,2018,792160
G,營運狀況,營業成本,,仟元,2018,537553
G,營運狀況,營業費用,,仟元,2018,282843
G,營運狀況,淨利,,仟元,2018,164276
G,營運狀況,營業收入,,仟元,2017,813212
G,營運狀況,營業成本,,仟元,2017,577085
G,營運狀況,營業費用,,仟元,2017,501640
G,營運狀況,淨利,,仟元,2017,-229749
G,營運狀況,營業收入,,仟元,2016,1162874
G,營運狀況,營業成本,,仟元,2016,793783
G,營運狀況,營業費用,,仟元,2016,381122
G,營運狀況,淨利,,仟元,2016,23542
