分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2010,6475.110000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2010,179709.92
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2010,186185.03000000003
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2011,454.2900000000009
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2011,56733.27
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2011,57187.56
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2012,417.95000000000437
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2012,61119.84
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2012,61537.79
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,因應國際淨零排放趨勢，每年由廠務單位帶領產線推動節能計畫，訂定年節電量占當年度總用電量≧2%之目標，並透過逐年提升再生能源使用比例的方式，承諾2025年溫室氣體排放密集度(排放量/營收)較2015年減少10%。
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.375
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.27399999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.193
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.978
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.845
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,39.601000000000006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,1.997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1.0540000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,38.33699999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.669
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.35400000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,22.394
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,3.097999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,1.755
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,32.657
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,5.868999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,3.7239999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,58.426999999999985
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,4.858
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,1.61
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,112.276
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,4.352
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,1.611
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,91.778
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,4.647
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,1.0570000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,211.29700000000003
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,0.001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,3.8529999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,1.512
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.154
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,61.24700000000001
