分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,為有效管控溫室氣體排放量，與電力使用有關的範疇二溫室氣體排放量透過節電及更換能源系統策略，以彌補與生產操作因素有關的範疇一溫室氣體排放量的增加，期透過完善的管理與控制溫室氣體的排放源，力求逐年降低二氧化碳的年排放量。配合國際藥廠Novartis對Supply Chain的環保策略目標，本公司以2018年為基準年(排放量為2.60萬公噸)，在兼顧公司生產目標下符合國際對節能減碳的需求，每年溫室氣體排放量減少以約1%～2%為目標，在公司「永續發展委員會」致力推動節能減碳的目標下，持續推動各項節能減碳措施。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,5.919
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,8.533
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.744
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,15.434
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,6.754
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,9.739
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,0.858
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,19.104
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,7.396
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,10.664
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,2.4919999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,9.844000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,3.78
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,11.182
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.983
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,11.666
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,10.972999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.9730000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,9.189
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,1.1159999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.026000000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,10.179
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.995
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.015
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,2.6159999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,1.331
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.012
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,3.724
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,1.371
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,4.359
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2017,1.276
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,1.805
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.03
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,6.865
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,2.556
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,1.539
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.049
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,3.1380000000000003
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2019,0.7809999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,1.5710000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.049
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,4.366
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2020,1.252
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,1.666
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.028
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,4.971
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2021,0.001
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2021,1.078
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,0.009
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,1.604
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.05399999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,8.057
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2022,1.07
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,0.019
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.901
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.031
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,3.912
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2023,0.4
E,空氣污染物申報-有害空氣污染物,甲苯,,,2023,0.011
E,環境違規,違反環境法規金額-misc,,元,2010,60000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2012,60000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2014,60000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2016,1000000
E,環境違規,違反環境法規次數-misc,,次,2016,10
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,120000
E,環境違規,違反環境法規次數-misc,,次,2017,2
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
