分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,26.093
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,523.578
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,17672.265
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,549.6709999999999
E,能源使用狀況,總用電量,true,度（KWh）,2021,1028641
E,能源使用狀況,再生能源設置量,true,,2021,NA
E,能源使用狀況,再生能源發電量,true,,2021,NA
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,祥碩科技屬IC設計公司，無工廠大型設備，耗電量較大的為因業務所需要之專案，無法達成溫室氣體明顯減量。除了透過節能專案外，亦透過宣導請同仁一起配合節約用水、午休時段關燈、下班時段關閉非必需設備之電源及辦公室室溫調節至適當溫度，以達到節能減碳。111年減量預設目標如下:範疇一：因計算關鍵變數在員工數，目前公司員工仍逐年增長，故暫不設定減量目標。範疇二:   預計透過汰換節能空調約可節省3000度電，減少1.506 Metric ton CO2e排放。範疇三(祥碩辦公室碳排部分):  實施衛生紙丟棄馬桶，預計可約減少0.5噸垃圾，約減少0.17 Metric ton CO2e排放。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,水資源,總取水量,true,,2021,2218
E,水資源,回收水量,true,,2021,NA
E,水資源,耗用水量,true,,2021,NA
E,水資源,排放水量,true,,2021,NA
E,廢棄物管理,一般事業廢棄物,true,,2021,NA
E,廢棄物管理,有害事業廢棄物,true,,2021,NA
E,廢棄物管理,資源化再利用,true,,2021,NA
S,員工組成,正式員工,true,人,2021,246
S,員工組成,性別比,true,人,2021,3.92
S,員工組成,是否聘用移工,true,人,2021,無揭露
S,員工組成,是否聘用身障人士,true,人,2021,無揭露
S,員工組成,是否聘用原住民,true,人,2021,NA
S,員工薪資,平均薪資,,仟元,2020,2636
S,員工薪資,薪資中位數,,仟元,2020,2076
S,員工薪資,平均薪資,,仟元,2019,1780
S,員工薪資,薪資中位數,,仟元,2019,1433
S,員工薪資,平均薪資,,仟元,2018,1839
S,職業健康,職災事故,true,,2021,0
S,職業健康,工安意外,true,,2021,是
G,資本額,資本額,,元,2020,692180510
G,資本額,資本額,,元,2019,692180510
G,是否產製CSR報告,是否編撰報告書,true,,2021,是
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,營運狀況,營業收入,,仟元,2020,6987470
G,營運狀況,營業成本,,仟元,2020,3343785
G,營運狀況,營業費用,,仟元,2020,1155429
G,營運狀況,淨利,,仟元,2020,2927912
G,營運狀況,營業收入,,仟元,2019,3746124
G,營運狀況,營業成本,,仟元,2019,1881155
G,營運狀況,營業費用,,仟元,2019,695778
G,營運狀況,淨利,,仟元,2019,965207
G,稅務透明度,營利事業所得稅稅額,true,元,2021,NA
G,稅務透明度,政府補助、補貼金額,true,元,2021,NA
G,稅務透明度,研發投入費用,true,元,2021,989056000
G,ISO認證,ISO 9001,true,,2021,是
G,ISO認證,ISO 14001,true,,2021,否
G,ISO認證,ISO 45001,true,,2021,是
G,ISO認證,ISO 50001,true,,2021,否
