分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,8.897
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,12.941999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,34.769
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.406
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,10.362000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,14.59
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,99.46400000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,1.3090000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,12.195000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,17.428000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,94.966
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,1.0950000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,11.809
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,16.781000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,84.651
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,1.6059999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,2.9069999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,4.094
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,15.575999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.5700000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,4.757
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,6.088
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,17.292
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.588
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,2.804
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,9.52
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,2.173
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,2.224
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.109
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,2.097
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,2.298
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,2.589
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,2.1980000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,1.133
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,1.484
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.133
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,1.181
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,2.616
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.382
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,1.183
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,3.7349999999999994
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.611
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.9590000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,4.337
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.772
E,環境違規,違反環境法規金額-misc,,元,2012,60000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,100000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,60000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,16000
E,環境違規,違反環境法規次數-misc,,次,2015,2
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2019,0
E,環境違規,違反環境法規次數-misc,,次,2019,0
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,38500
E,環境違規,違反環境法規次數-水,,次,2019,1
S,員工薪資,平均薪資,,仟元,2020,660
S,員工薪資,薪資中位數,,仟元,2020,585
S,員工薪資,平均薪資,,仟元,2019,631
S,員工薪資,薪資中位數,,仟元,2019,554
S,員工薪資,平均薪資,,仟元,2018,561
G,資本額,資本額,,元,2020,2187030510
G,資本額,資本額,,元,2019,2187030510
G,營運狀況,營業收入,,仟元,2020,10213493
G,營運狀況,營業成本,,仟元,2020,9143081
G,營運狀況,營業費用,,仟元,2020,604893
G,營運狀況,淨利,,仟元,2020,417787
G,營運狀況,營業收入,,仟元,2019,10646506
G,營運狀況,營業成本,,仟元,2019,9633963
G,營運狀況,營業費用,,仟元,2019,604456
G,營運狀況,淨利,,仟元,2019,395480
G,營運狀況,營業收入,,仟元,2018,11243509
G,營運狀況,營業成本,,仟元,2018,10332888
G,營運狀況,營業費用,,仟元,2018,608864
G,營運狀況,淨利,,仟元,2018,300502
G,營運狀況,營業收入,,仟元,2017,10757313
G,營運狀況,營業成本,,仟元,2017,9721443
G,營運狀況,營業費用,,仟元,2017,594659
G,營運狀況,淨利,,仟元,2017,320546
G,營運狀況,營業收入,,仟元,2016,10919454
G,營運狀況,營業成本,,仟元,2016,9733934
G,營運狀況,營業費用,,仟元,2016,606754
G,營運狀況,淨利,,仟元,2016,486777
