分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2011,5000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2014,5000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
G,資本額,資本額,,元,2020,716666670
G,資本額,資本額,,元,2019,716666670
G,營運狀況,營業收入,,仟元,2020,1047376
G,營運狀況,營業成本,,仟元,2020,645482
G,營運狀況,營業費用,,仟元,2020,174702
G,營運狀況,淨利,,仟元,2020,166425
G,營運狀況,營業收入,,仟元,2019,946783
G,營運狀況,營業成本,,仟元,2019,581737
G,營運狀況,營業費用,,仟元,2019,179680
G,營運狀況,淨利,,仟元,2019,132911
