分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.075
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.365
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.096
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.342
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.10999999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.03
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.35200000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.176
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.063
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.512
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.388
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.136
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.22999999999999998
S,員工薪資,平均薪資,,仟元,2020,711
S,員工薪資,薪資中位數,,仟元,2020,597
S,員工薪資,平均薪資,,仟元,2019,600
S,員工薪資,薪資中位數,,仟元,2019,527
S,員工薪資,平均薪資,,仟元,2018,720
G,資本額,資本額,,元,2020,739685000
G,資本額,資本額,,元,2019,739685000
G,營運狀況,營業收入,,仟元,2020,2088346
G,營運狀況,營業成本,,仟元,2020,1043612
G,營運狀況,營業費用,,仟元,2020,672292
G,營運狀況,淨利,,仟元,2020,294938
G,營運狀況,營業收入,,仟元,2019,2575521
G,營運狀況,營業成本,,仟元,2019,1318711
G,營運狀況,營業費用,,仟元,2019,943832
G,營運狀況,淨利,,仟元,2019,155910
G,營運狀況,營業收入,,仟元,2018,2545815
G,營運狀況,營業成本,,仟元,2018,1130053
G,營運狀況,營業費用,,仟元,2018,1053282
G,營運狀況,淨利,,仟元,2018,214680
G,營運狀況,營業收入,,仟元,2017,1864587
G,營運狀況,營業成本,,仟元,2017,833005
G,營運狀況,營業費用,,仟元,2017,747655
G,營運狀況,淨利,,仟元,2017,171857
G,營運狀況,營業收入,,仟元,2016,1617201
G,營運狀況,營業成本,,仟元,2016,767700
G,營運狀況,營業費用,,仟元,2016,593210
G,營運狀況,淨利,,仟元,2016,153043
