年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,104181.13,87.83,87064.64,87.8,17116.49,87.97,
2019,118614.14,100,99157.73,100,19456.41,100,
2018,116012.78,97.81,96665.59,97.49,19347.19,99.44,
2017,100769.05,84.96,81228.18,81.92,19540.87,100.43,
2016,87454.25,73.73,70334.19,70.93,17120.06,87.99,
2015,79738.54,67.23,63249.14,63.79,16489.4,84.75,
2014,107509.31,90.64,91190.65,91.97,16318.66,83.87,
2021,105318.49,88.79,89010.13,89.77,16308.36,83.82,T
2022,106455.85,89.75,90955.61,91.73,15500.24,79.67,T
2023,107593.21,90.71,92901.1,93.69,14692.11,75.51,T
2024,108730.57,91.67,94846.59,95.65,13883.98,71.36,T
2025,109867.93,92.63,96792.07,97.61,13075.86,67.21,T
2026,111005.29,93.59,98737.56,99.58,12267.73,63.05,T
2027,112142.65,94.54,100683.05,101.54,11459.6,58.9,T
2028,113280.01,95.5,102628.53,103.5,10651.48,54.75,T
2029,114417.37,96.46,104574.02,105.46,9843.35,50.59,T
2030,115554.73,97.42,106519.51,107.42,9035.22,46.44,T
2031,116692.09,98.38,108464.99,109.39,8227.1,42.28,T
2032,117829.45,99.34,110410.48,111.35,7418.97,38.13,T
2033,118966.81,100.3,112355.97,113.31,6610.84,33.98,T
2034,120104.17,101.26,114301.45,115.27,5802.72,29.82,T
2035,121241.53,102.22,116246.94,117.23,4994.59,25.67,T
2036,122378.89,103.17,118192.43,119.2,4186.46,21.52,T
2037,123516.25,104.13,120137.91,121.16,3378.34,17.36,T
2038,124653.61,105.09,122083.4,123.12,2570.21,13.21,T
2039,125790.97,106.05,124028.89,125.08,1762.08,9.06,T
2040,126928.33,107.01,125974.37,127.04,953.96,4.9,T
2041,128065.69,107.97,127919.86,129.01,145.83,0.75,T
2042,129203.05,108.93,129865.35,130.97,0,0,T
2043,130340.41,109.89,131810.83,132.93,0,0,T
2044,131477.77,110.84,133756.32,134.89,0,0,T
2045,132615.13,111.8,135701.81,136.85,0,0,T
2046,133752.49,112.76,137647.29,138.82,0,0,T
2047,134889.85,113.72,139592.78,140.78,0,0,T
2048,136027.21,114.68,141538.27,142.74,0,0,T
2049,137164.57,115.64,143483.75,144.7,0,0,T
2050,138301.93,116.6,145429.24,146.66,0,0,T
