分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,NA
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,556.2
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,556.2
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2022,27
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2022,597.1
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2022,143
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2022,624.1
E,能源使用狀況,總用電量,true,度（KWh）,2022,1040347.9
E,能源使用狀況,再生能源設置量,true,,2022,NA
E,能源使用狀況,再生能源發電量,true,,2022,NA
E,能源使用狀況,總用電量,true,度（KWh）,2021,1108001
E,能源使用狀況,再生能源設置量,true,,2021,NA
E,能源使用狀況,再生能源發電量,true,,2021,NA
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,水資源,總取水量,true,,2022,3880
E,水資源,回收水量,true,,2022,0
E,水資源,耗用水量,true,,2022,NA
E,水資源,排放水量,true,,2022,NA
E,水資源,總取水量,true,,2021,3530
E,水資源,回收水量,true,,2021,NA
E,水資源,耗用水量,true,,2021,NA
E,水資源,排放水量,true,,2021,NA
E,廢棄物管理,一般事業廢棄物,true,,2022,20.3468
E,廢棄物管理,有害事業廢棄物,true,,2022,0.2087
E,廢棄物管理,資源化再利用,true,,2022,1.54
E,廢棄物管理,一般事業廢棄物,true,,2021,29.1792
E,廢棄物管理,有害事業廢棄物,true,,2021,0.6243
E,廢棄物管理,資源化再利用,true,,2021,0.6243
S,員工組成,正式員工,true,人,2021,298
S,員工組成,性別比,true,人,2021,2.5476190476190474
S,員工組成,是否聘用移工,true,人,2021,NA
S,員工組成,是否聘用身障人士,true,人,2021,無揭露
S,員工組成,是否聘用原住民,true,人,2021,NA
S,員工組成,正式員工,true,人,2022,303
S,員工組成,性別比,true,人,2022,2.5232558139534884
S,員工組成,是否聘用移工,true,人,2022,NA
S,員工組成,是否聘用身障人士,true,人,2022,無揭露
S,員工組成,是否聘用原住民,true,人,2022,NA
S,員工薪資,平均薪資,,仟元,2020,1304
S,員工薪資,薪資中位數,,仟元,2020,1073
S,員工薪資,平均薪資,,仟元,2019,1261
S,員工薪資,薪資中位數,,仟元,2019,1097
S,員工薪資,平均薪資,,仟元,2018,1264
S,職業健康,職災事故,true,,2021,NA
S,職業健康,工安意外,true,,2021,NA
S,職業健康,職災事故,true,,2022,0
S,職業健康,工安意外,true,,2022,否
G,資本額,資本額,,元,2020,884689060
G,資本額,資本額,,元,2019,884689060
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,是否產製CSR報告,是否編撰報告書,true,,2022,是
G,是否產製CSR報告,是否編撰報告書,true,,2021,是
G,營運狀況,營業收入,,仟元,2020,5350200
G,營運狀況,營業成本,,仟元,2020,3451573
G,營運狀況,營業費用,,仟元,2020,890675
G,營運狀況,淨利,,仟元,2020,866216
G,營運狀況,營業收入,,仟元,2019,2749555
G,營運狀況,營業成本,,仟元,2019,1764877
G,營運狀況,營業費用,,仟元,2019,741444
G,營運狀況,淨利,,仟元,2019,190737
G,營運狀況,營業收入,,仟元,2018,2650169
G,營運狀況,營業成本,,仟元,2018,1785052
G,營運狀況,營業費用,,仟元,2018,663948
G,營運狀況,淨利,,仟元,2018,177185
G,稅務透明度,營利事業所得稅稅額,true,元,2021,61389000
G,稅務透明度,政府補助、補貼金額,true,元,2021,NA
G,稅務透明度,研發投入費用,true,元,2021,539010000
G,稅務透明度,營利事業所得稅稅額,true,元,2022,6230000
G,稅務透明度,政府補助、補貼金額,true,元,2022,NA
G,稅務透明度,研發投入費用,true,元,2022,602470000
G,ISO認證,ISO 9001,true,,2021,是
G,ISO認證,ISO 14001,true,,2021,否
G,ISO認證,ISO 45001,true,,2021,否
G,ISO認證,ISO 50001,true,,2021,否
G,ISO認證,ISO 9001,true,,2022,是
G,ISO認證,ISO 14001,true,,2022,是
G,ISO認證,ISO 45001,true,,2022,否
G,ISO認證,ISO 50001,true,,2022,否
