分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,21329.89
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,4269.72
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,25599.61
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,4.78
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,6.002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,1.03
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.235
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,29.799999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,50.13400000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,7.186
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.87
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,40.049
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,41.150999999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,8.21
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.937
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,5.353
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,5.172
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,1.152
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.128
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,21.942999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,25.727999999999994
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,9.081000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.763
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,17.921
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,4.735
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,3.489
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.774
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,17.908
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,7.404999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,7.027
