分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,5618.38
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,5367.71
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,6630.57
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,6146.16
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,6511.19
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,6405.63
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,4288.22
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,4162.63
S,員工薪資,平均薪資,仟元,2020,685
S,員工薪資,薪資中位數,仟元,2020,560
S,員工薪資,平均薪資,仟元,2019,556
S,員工薪資,薪資中位數,仟元,2019,490
S,員工薪資,平均薪資,仟元,2018,500
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,370000000
G,,資本額,元,2019,370000000
G,收入、成本與淨利,營業收入,仟元,2020,133723
G,收入、成本與淨利,營業成本,仟元,2020,122895
G,收入、成本與淨利,營業費用,仟元,2020,79103
G,收入、成本與淨利,淨利,仟元,2020,-6266
G,收入、成本與淨利,營業收入,仟元,2019,165229
G,收入、成本與淨利,營業成本,仟元,2019,326952
G,收入、成本與淨利,營業費用,仟元,2019,73135
G,收入、成本與淨利,淨利,仟元,2019,-239481
G,收入、成本與淨利,營業收入,仟元,2018,304695
G,收入、成本與淨利,營業成本,仟元,2018,411274
G,收入、成本與淨利,營業費用,仟元,2018,66837
G,收入、成本與淨利,淨利,仟元,2018,-180728
G,收入、成本與淨利,營業收入,仟元,2017,261793
G,收入、成本與淨利,營業成本,仟元,2017,353149
G,收入、成本與淨利,營業費用,仟元,2017,22686
G,收入、成本與淨利,淨利,仟元,2017,-129445
G,收入、成本與淨利,營業收入,仟元,2016,227960
G,收入、成本與淨利,營業成本,仟元,2016,239775
G,收入、成本與淨利,營業費用,仟元,2016,95556
G,收入、成本與淨利,淨利,仟元,2016,-126259
