分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2012,6000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2019,10000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
S,員工薪資,平均薪資,,仟元,2020,643
S,員工薪資,薪資中位數,,仟元,2020,555
S,員工薪資,平均薪資,,仟元,2019,610
S,員工薪資,薪資中位數,,仟元,2019,524
S,員工薪資,平均薪資,,仟元,2018,536
G,資本額,資本額,,元,2020,385090000
G,資本額,資本額,,元,2019,385090000
G,營運狀況,營業收入,,仟元,2020,710777
G,營運狀況,營業成本,,仟元,2020,332612
G,營運狀況,營業費用,,仟元,2020,196674
G,營運狀況,淨利,,仟元,2020,137872
G,營運狀況,營業收入,,仟元,2019,617017
G,營運狀況,營業成本,,仟元,2019,293890
G,營運狀況,營業費用,,仟元,2019,198068
G,營運狀況,淨利,,仟元,2019,93678
G,營運狀況,營業收入,,仟元,2018,459909
G,營運狀況,營業成本,,仟元,2018,311760
G,營運狀況,營業費用,,仟元,2018,143744
G,營運狀況,淨利,,仟元,2018,11042
G,營運狀況,營業收入,,仟元,2017,551889
G,營運狀況,營業成本,,仟元,2017,295072
G,營運狀況,營業費用,,仟元,2017,159609
G,營運狀況,淨利,,仟元,2017,77651
G,營運狀況,營業收入,,仟元,2016,522578
G,營運狀況,營業成本,,仟元,2016,272821
G,營運狀況,營業費用,,仟元,2016,147952
G,營運狀況,淨利,,仟元,2016,86060
