分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.152
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,2.6870000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,0.152
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,2.9659999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,0.152
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,2.016
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.076
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.15000000000000002
S,員工薪資,平均薪資,,仟元,2020,844
S,員工薪資,薪資中位數,,仟元,2020,528
S,員工薪資,平均薪資,,仟元,2019,719
S,員工薪資,薪資中位數,,仟元,2019,530
S,員工薪資,平均薪資,,仟元,2018,653
G,資本額,資本額,,元,2020,349731950
G,資本額,資本額,,元,2019,349731950
