分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2013,533811.9500000001
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2013,2347224.4499999997
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2014,491359.7700000001
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2014,2385078.46
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2015,444640.2
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2015,2400789.02
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2016,440828.85
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2016,2453698.22
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2016,1008.2323868891837
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2017,406622.8200000001
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2017,2704124.58
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2017,945.014980068271
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2018,365058.64
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2018,2768831.6699999995
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2018,1121.7459695865552
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2019,347630.76
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2019,2653081.3799999994
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2019,1190.8948454503782
E,空氣污染物申報,氮氧化物,,2009,17.941
E,空氣污染物申報,硫氧化物,,2009,10.187999999999995
E,空氣污染物申報,粒狀污染物,,2009,10.255
E,空氣污染物申報,揮發性有機化合物,,2009,1687.289
E,空氣污染物申報,氮氧化物,,2010,17.491999999999997
E,空氣污染物申報,硫氧化物,,2010,9.010000000000002
E,空氣污染物申報,粒狀污染物,,2010,2.5870000000000006
E,空氣污染物申報,揮發性有機化合物,,2010,1936.0729999999999
E,空氣污染物申報,氮氧化物,,2011,18.259999999999998
E,空氣污染物申報,硫氧化物,,2011,7.734999999999999
E,空氣污染物申報,粒狀污染物,,2011,6.765000000000001
E,空氣污染物申報,揮發性有機化合物,,2011,1264.1019999999999
E,空氣污染物申報,氮氧化物,,2012,16.666
E,空氣污染物申報,硫氧化物,,2012,7.027
E,空氣污染物申報,粒狀污染物,,2012,15.759000000000002
E,空氣污染物申報,揮發性有機化合物,,2012,2008.9769999999999
E,空氣污染物申報,氮氧化物,,2013,15.095999999999997
E,空氣污染物申報,硫氧化物,,2013,6.627
E,空氣污染物申報,粒狀污染物,,2013,9.064
E,空氣污染物申報,揮發性有機化合物,,2013,1788.1239999999998
E,空氣污染物申報,氮氧化物,,2014,14.736000000000002
E,空氣污染物申報,硫氧化物,,2014,9.109
E,空氣污染物申報,粒狀污染物,,2014,12.507
E,空氣污染物申報,揮發性有機化合物,,2014,2201.311
E,空氣污染物申報,氮氧化物,,2015,22.774999999999995
E,空氣污染物申報,硫氧化物,,2015,42.63900000000001
E,空氣污染物申報,粒狀污染物,,2015,8.32
E,空氣污染物申報,揮發性有機化合物,,2015,2520.082
E,空氣污染物申報,氮氧化物,,2016,27.047999999999995
E,空氣污染物申報,硫氧化物,,2016,42.556
E,空氣污染物申報,粒狀污染物,,2016,11.567000000000002
E,空氣污染物申報,揮發性有機化合物,,2016,2168.709
E,空氣污染物申報,苯,,2017,0
E,空氣污染物申報,四氯化碳,,2017,0
E,空氣污染物申報,1-1-二氯乙烷,,2017,0
E,空氣污染物申報,1-2-二氯乙烷,,2017,0
E,空氣污染物申報,戴奧辛,,2017,0
E,空氣污染物申報,乙苯,,2017,0
E,空氣污染物申報,二氯甲烷,,2017,0
E,空氣污染物申報,氮氧化物,,2017,21.363999999999997
E,空氣污染物申報,硫氧化物,,2017,38.74799999999999
E,空氣污染物申報,苯乙烯,,2017,0
E,空氣污染物申報,粒狀污染物,,2017,9.411999999999997
E,空氣污染物申報,四氯乙烯,,2017,0
E,空氣污染物申報,甲苯,,2017,0
E,空氣污染物申報,三氯乙烷,,2017,0
E,空氣污染物申報,三氯乙烯,,2017,0
E,空氣污染物申報,揮發性有機化合物,,2017,2405.7229999999995
E,空氣污染物申報,二甲苯,,2017,0
E,空氣污染物申報,三氯甲烷,,2017,0
E,空氣污染物申報,重金屬,,2017,0
E,空氣污染物申報,苯,,2018,0
E,空氣污染物申報,四氯化碳,,2018,0
E,空氣污染物申報,1-1-二氯乙烷,,2018,0
E,空氣污染物申報,1-2-二氯乙烷,,2018,0
E,空氣污染物申報,戴奧辛,,2018,0
E,空氣污染物申報,乙苯,,2018,0
E,空氣污染物申報,二氯甲烷,,2018,0
E,空氣污染物申報,氮氧化物,,2018,32.394
E,空氣污染物申報,硫氧化物,,2018,43.82
E,空氣污染物申報,苯乙烯,,2018,0
E,空氣污染物申報,粒狀污染物,,2018,11.934
E,空氣污染物申報,四氯乙烯,,2018,0
E,空氣污染物申報,甲苯,,2018,0
E,空氣污染物申報,三氯乙烷,,2018,0
E,空氣污染物申報,三氯乙烯,,2018,0
E,空氣污染物申報,揮發性有機化合物,,2018,863.454
E,空氣污染物申報,二甲苯,,2018,0
E,空氣污染物申報,三氯甲烷,,2018,0
E,空氣污染物申報,重金屬,,2018,0
E,空氣污染物申報,苯,,2019,0
E,空氣污染物申報,四氯化碳,,2019,0
E,空氣污染物申報,1-1-二氯乙烷,,2019,0
E,空氣污染物申報,1-2-二氯乙烷,,2019,0
E,空氣污染物申報,戴奧辛,,2019,0
E,空氣污染物申報,乙苯,,2019,0
E,空氣污染物申報,二氯甲烷,,2019,0.001
E,空氣污染物申報,氮氧化物,,2019,24.340999999999998
E,空氣污染物申報,硫氧化物,,2019,26.090000000000003
E,空氣污染物申報,苯乙烯,,2019,0
E,空氣污染物申報,粒狀污染物,,2019,10.162
E,空氣污染物申報,四氯乙烯,,2019,0
E,空氣污染物申報,甲苯,,2019,0
E,空氣污染物申報,三氯乙烷,,2019,0
E,空氣污染物申報,三氯乙烯,,2019,0
E,空氣污染物申報,揮發性有機化合物,,2019,616.682
E,空氣污染物申報,二甲苯,,2019,0
E,空氣污染物申報,三氯甲烷,,2019,0
E,空氣污染物申報,重金屬,,2019,0
E,空氣污染物申報,苯,,2020,0
E,空氣污染物申報,四氯化碳,,2020,0
E,空氣污染物申報,1-1-二氯乙烷,,2020,0
E,空氣污染物申報,1-2-二氯乙烷,,2020,0
E,空氣污染物申報,戴奧辛,,2020,0
E,空氣污染物申報,乙苯,,2020,0
E,空氣污染物申報,二氯甲烷,,2020,0.002
E,空氣污染物申報,氮氧化物,,2020,30.134000000000004
E,空氣污染物申報,硫氧化物,,2020,59.575
E,空氣污染物申報,苯乙烯,,2020,0
E,空氣污染物申報,粒狀污染物,,2020,9.492999999999997
E,空氣污染物申報,四氯乙烯,,2020,0
E,空氣污染物申報,甲苯,,2020,0
E,空氣污染物申報,三氯乙烷,,2020,0
E,空氣污染物申報,三氯乙烯,,2020,0
E,空氣污染物申報,揮發性有機化合物,,2020,645.4870000000001
E,空氣污染物申報,二甲苯,,2020,0
E,空氣污染物申報,三氯甲烷,,2020,0
E,空氣污染物申報,重金屬,,2020,0
E,空氣污染物申報,苯,,2021,0
E,空氣污染物申報,四氯化碳,,2021,0
E,空氣污染物申報,1-1-二氯乙烷,,2021,0
E,空氣污染物申報,1-2-二氯乙烷,,2021,0
E,空氣污染物申報,戴奧辛,,2021,0
E,空氣污染物申報,乙苯,,2021,0
E,空氣污染物申報,二氯甲烷,,2021,0
E,空氣污染物申報,氮氧化物,,2021,9.041
E,空氣污染物申報,硫氧化物,,2021,3.2539999999999996
E,空氣污染物申報,苯乙烯,,2021,0
E,空氣污染物申報,粒狀污染物,,2021,1.323
E,空氣污染物申報,四氯乙烯,,2021,0
E,空氣污染物申報,甲苯,,2021,0
E,空氣污染物申報,三氯乙烷,,2021,0
E,空氣污染物申報,三氯乙烯,,2021,0
E,空氣污染物申報,揮發性有機化合物,,2021,177.823
E,空氣污染物申報,二甲苯,,2021,0
E,空氣污染物申報,三氯甲烷,,2021,0
E,空氣污染物申報,重金屬,,2021,0
E,環境違規,違反環境法規金額,元,2010,100000
E,環境違規,違反環境法規次數,次,2010,1
E,環境違規,違反環境法規金額,元,2013,12000
E,環境違規,違反環境法規次數,次,2013,2
E,環境違規,違反環境法規金額,元,2014,260000
E,環境違規,違反環境法規次數,次,2014,3
E,環境違規,違反環境法規金額,元,2015,60000
E,環境違規,違反環境法規次數,次,2015,1
E,環境違規,違反環境法規金額,元,2016,142500
E,環境違規,違反環境法規次數,次,2016,2
E,環境違規,違反環境法規金額,元,2017,150000
E,環境違規,違反環境法規次數,次,2017,1
E,環境違規,違反環境法規金額,元,2018,60000
E,環境違規,違反環境法規次數,次,2018,1
E,環境違規,違反環境法規金額,元,2020,24000
E,環境違規,違反環境法規次數,次,2020,2
E,環境違規,違反環境法規金額,元,2021,300000
E,環境違規,違反環境法規次數,次,2021,4
S,員工薪資,平均薪資,仟元,2020,893
S,員工薪資,薪資中位數,仟元,2020,675
S,員工薪資,平均薪資,仟元,2019,739
S,員工薪資,薪資中位數,仟元,2019,626
S,員工薪資,平均薪資,仟元,2018,764
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,102483195990
G,,資本額,元,2019,102483195990
G,營運狀況,營業收入,仟元,2020,269911051
G,營運狀況,營業成本,仟元,2020,246077953
G,營運狀況,營業費用,仟元,2020,22021301
G,營運狀況,淨利,仟元,2020,1639824
G,營運狀況,營業收入,仟元,2019,251971209
G,營運狀況,營業成本,仟元,2019,248957129
G,營運狀況,營業費用,仟元,2019,22947976
G,營運狀況,淨利,仟元,2019,-17440272
G,營運狀況,營業收入,仟元,2018,279376115
G,營運狀況,營業成本,仟元,2018,252562557
G,營運狀況,營業費用,仟元,2018,21978262
G,營運狀況,淨利,仟元,2018,2222762
G,營運狀況,營業收入,仟元,2017,329174401
G,營運狀況,營業成本,仟元,2017,260435724
G,營運狀況,營業費用,仟元,2017,21716468
G,營運狀況,淨利,仟元,2017,37028609
G,營運狀況,營業收入,仟元,2016,287089277
G,營運狀況,營業成本,仟元,2016,261000786
G,營運狀況,營業費用,仟元,2016,19675242
G,營運狀況,淨利,仟元,2016,1870687
