年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,376117.11,85.73,314294.48,82.97,61822.63,103.18,
2021,440221.29,100.34,366098.17,96.65,74123.12,123.7,
2020,465148.06,106.02,408215.59,107.77,56932.47,95.01,
2019,438716.08,100,378796.6,100,59919.48,100,
2018,446678.8,101.82,386139.38,101.94,60539.42,101.03,
2017,436215.97,99.43,370658.71,97.85,65557.26,109.41,
2016,438626.36,99.98,396525.88,104.68,42100.48,70.26,
2015,411371.17,93.77,371808.51,98.16,39562.66,66.03,
2014,425065.23,96.89,389263.78,102.76,35801.45,59.75,
2023,355250.78,80.98,292793.77,77.3,62457.01,104.23,T
2024,334384.46,76.22,271293.06,71.62,63091.39,105.29,T
2025,313518.13,71.46,249792.36,65.94,63725.78,106.35,T
2026,292651.81,66.71,228291.65,60.27,64360.16,107.41,T
2027,271785.48,61.95,206790.94,54.59,64994.54,108.47,T
2028,250919.16,57.19,185290.23,48.92,65628.92,109.53,T
2029,230052.83,52.44,163789.53,43.24,66263.31,110.59,T
2030,209186.51,47.68,142288.82,37.56,66897.69,111.65,T
2031,188320.18,42.93,120788.11,31.89,67532.07,112.7,T
2032,167453.86,38.17,99287.4,26.21,68166.46,113.76,T
2033,146587.53,33.41,77786.7,20.54,68800.84,114.82,T
2034,125721.21,28.66,56285.99,14.86,69435.22,115.88,T
2035,104854.89,23.9,34785.28,9.18,70069.6,116.94,T
2036,83988.56,19.14,13284.57,3.51,70703.99,118,T
2037,63122.24,14.39,0,0,71338.37,119.06,T
2038,42255.91,9.63,0,0,71972.75,120.12,T
2039,21389.59,4.88,0,0,72607.13,121.17,T
2040,523.26,0.12,0,0,73241.52,122.23,T
2041,0,0,0,0,73875.9,123.29,T
2042,0,0,0,0,74510.28,124.35,T
2043,0,0,0,0,75144.66,125.41,T
2044,0,0,0,0,75779.05,126.47,T
2045,0,0,0,0,76413.43,127.53,T
2046,0,0,0,0,77047.81,128.59,T
2047,0,0,0,0,77682.2,129.64,T
2048,0,0,0,0,78316.58,130.7,T
2049,0,0,0,0,78950.96,131.76,T
2050,0,0,0,0,79585.34,132.82,T
