分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,9.608
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,11.82
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,2.83
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,21.014
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,13.019
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,14.949000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,7.709999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,31.388999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,12.947000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,14.244
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,7.2410000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,45.955
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,13.043000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,17.230999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,5.467
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,345.307
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,13.690000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,18.277
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,5.705
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,1538.4899999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,14.665
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,23.089
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,1.3139999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,1564.777
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,9.915000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,9.05
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.9380000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,1287.658
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,8.986
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,6.998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.663
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,1114.6080000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,9.957
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,3.8299999999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.86
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,540.682
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,105.013
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,8.228
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,5.417
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.577
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,331.25100000000003
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,129.014
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,8.083
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,5.370000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.42800000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,210.908
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,58.114
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,7.462
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,5.821999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.496
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,246.954
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,67.047
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,7.279
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,5.692
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.495
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,235.043
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,28.560000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,7.905
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,5.909
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.513
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,364.973
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,80.021
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,4.386
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2023,3.586
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.296
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,93.929
