分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,0
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,829.221
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,829.221
E,能源使用狀況,總用電量,true,度（KWh）,2021,1652222.2235440002
E,能源使用狀況,再生能源設置量,true,,2021,NA
E,能源使用狀況,再生能源發電量,true,度（KWh）,2021,14000
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,聚陽從2019年開始，啟動Green our land專案，以聯合國永續發展會議中，17項目永續發展目標為核心，考量永續發展目標整合經濟、社會與環境三大面向，我們於環保面向上專注於節能減碳、永續消費及生產模式，並以2020為基準年，設定以下減量目標(1)2050年淨零碳排(2)2030年達到每單位產品溫室氣體排放下降50% (3)2025全營運據點禁用煤作為燃料
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有淨零目標有減碳目標
E,水資源,總取水量,true,,2021,10720
E,水資源,回收水量,true,,2021,NA
E,水資源,耗用水量,true,,2021,NA
E,水資源,排放水量,true,,2021,NA
E,廢棄物管理,一般事業廢棄物,true,,2021,NA
E,廢棄物管理,有害事業廢棄物,true,,2021,NA
E,廢棄物管理,資源化再利用,true,,2021,NA
S,員工組成,正式員工,true,人,2021,820
S,員工組成,性別比,true,人,2021,0.32901134521880065
S,員工組成,是否聘用移工,true,人,2021,NA
S,員工組成,是否聘用身障人士,true,人,2021,無揭露
S,員工組成,是否聘用原住民,true,人,2021,NA
S,員工薪資,平均薪資,,仟元,2020,1236
S,員工薪資,薪資中位數,,仟元,2020,1151
S,員工薪資,平均薪資,,仟元,2019,1199
S,員工薪資,薪資中位數,,仟元,2019,1098
S,員工薪資,平均薪資,,仟元,2018,1164
S,職業健康,職災事故,true,,2021,NA
S,職業健康,工安意外,true,,2021,否
G,資本額,資本額,,元,2020,2418565810
G,資本額,資本額,,元,2019,2418565810
G,是否產製CSR報告,是否編撰報告書,true,,2021,是
G,營運狀況,營業收入,,仟元,2020,24924170
G,營運狀況,營業成本,,仟元,2020,19352764
G,營運狀況,營業費用,,仟元,2020,2905648
G,營運狀況,淨利,,仟元,2020,2078913
G,營運狀況,營業收入,,仟元,2019,27047502
G,營運狀況,營業成本,,仟元,2019,21622296
G,營運狀況,營業費用,,仟元,2019,2935437
G,營運狀況,淨利,,仟元,2019,1929001
G,營運狀況,營業收入,,仟元,2018,23929638
G,營運狀況,營業成本,,仟元,2018,19187255
G,營運狀況,營業費用,,仟元,2018,2765195
G,營運狀況,淨利,,仟元,2018,1522085
G,營運狀況,營業收入,,仟元,2017,22375000
G,營運狀況,營業成本,,仟元,2017,18050945
G,營運狀況,營業費用,,仟元,2017,2556802
G,營運狀況,淨利,,仟元,2017,1296616
G,營運狀況,營業收入,,仟元,2016,22127939
G,營運狀況,營業成本,,仟元,2016,17610504
G,營運狀況,營業費用,,仟元,2016,2568395
G,營運狀況,淨利,,仟元,2016,1542631
G,稅務透明度,營利事業所得稅稅額,true,元,2021,820820000
G,稅務透明度,政府補助、補貼金額,true,元,2021,NA
G,稅務透明度,研發投入費用,true,元,2021,NA
G,ISO認證,ISO 9001,true,,2021,否
G,ISO認證,ISO 14001,true,,2021,否
G,ISO認證,ISO 45001,true,,2021,否
G,ISO認證,ISO 50001,true,,2021,否
