分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,企業溫室氣體排放量以每年提案推動符合能源局每年1%節能績效
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.8520000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,1.224
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,13.334
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,16.752000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,9.905
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,14.195999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,1.374
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.6940000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,11.963
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,11.199
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,1.482
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,2.138
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,8.138
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,8.219
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,4.870000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,7.021000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,24.995000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,20.858
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,3.6199999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,5.22
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,17.736000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,16.294999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,2.412
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,3.477
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,24.623
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,20.302
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,11.067
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,11.411
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.062
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.089
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,10.494
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,32.292
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,4.899
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,17.845
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,17.231
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,19.438999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,32.602999999999994
E,環境違規,違反環境法規金額-misc,,元,2014,0
E,環境違規,違反環境法規次數-misc,,次,2014,0
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,190000
E,環境違規,違反環境法規次數-水,,次,2014,1
E,環境違規,違反環境法規金額-misc,,元,2018,30000
E,環境違規,違反環境法規次數-misc,,次,2018,2
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,648000
E,環境違規,違反環境法規次數-水,,次,2018,1
S,員工薪資,平均薪資,,仟元,2020,531
S,員工薪資,薪資中位數,,仟元,2020,493
S,員工薪資,平均薪資,,仟元,2019,529
S,員工薪資,薪資中位數,,仟元,2019,505
S,員工薪資,平均薪資,,仟元,2018,508
G,資本額,資本額,,元,2020,1111573200
G,資本額,資本額,,元,2019,1111573200
G,營運狀況,營業收入,,仟元,2020,2635433
G,營運狀況,營業成本,,仟元,2020,2353748
G,營運狀況,營業費用,,仟元,2020,266935
G,營運狀況,淨利,,仟元,2020,40489
G,營運狀況,營業收入,,仟元,2019,3293851
G,營運狀況,營業成本,,仟元,2019,3062541
G,營運狀況,營業費用,,仟元,2019,237081
G,營運狀況,淨利,,仟元,2019,-99040
G,營運狀況,營業收入,,仟元,2018,4106559
G,營運狀況,營業成本,,仟元,2018,3967842
G,營運狀況,營業費用,,仟元,2018,238772
G,營運狀況,淨利,,仟元,2018,-104434
G,營運狀況,營業收入,,仟元,2017,3966172
G,營運狀況,營業成本,,仟元,2017,3695367
G,營運狀況,營業費用,,仟元,2017,244063
G,營運狀況,淨利,,仟元,2017,-2961
G,營運狀況,營業收入,,仟元,2016,3676208
G,營運狀況,營業成本,,仟元,2016,3492261
G,營運狀況,營業費用,,仟元,2016,265373
G,營運狀況,淨利,,仟元,2016,-101282
