分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,盡力落實節能環保，預算並無特定金額。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
S,員工薪資,平均薪資,,仟元,2020,560
S,員工薪資,薪資中位數,,仟元,2020,478
S,員工薪資,平均薪資,,仟元,2019,619
S,員工薪資,薪資中位數,,仟元,2019,510
S,員工薪資,平均薪資,,仟元,2018,622
G,資本額,資本額,,元,2020,999496000
G,資本額,資本額,,元,2019,999496000
G,營運狀況,營業收入,,仟元,2020,329881
G,營運狀況,營業成本,,仟元,2020,311268
G,營運狀況,營業費用,,仟元,2020,79246
G,營運狀況,淨利,,仟元,2020,-87435
G,營運狀況,營業收入,,仟元,2019,603756
G,營運狀況,營業成本,,仟元,2019,585093
G,營運狀況,營業費用,,仟元,2019,116605
G,營運狀況,淨利,,仟元,2019,-93953
G,營運狀況,營業收入,,仟元,2018,751682
G,營運狀況,營業成本,,仟元,2018,747343
G,營運狀況,營業費用,,仟元,2018,172325
G,營運狀況,淨利,,仟元,2018,-156247
G,營運狀況,營業收入,,仟元,2017,945816
G,營運狀況,營業成本,,仟元,2017,830885
G,營運狀況,營業費用,,仟元,2017,176023
G,營運狀況,淨利,,仟元,2017,-56100
G,營運狀況,營業收入,,仟元,2016,1130786
G,營運狀況,營業成本,,仟元,2016,953578
G,營運狀況,營業費用,,仟元,2016,222852
G,營運狀況,淨利,,仟元,2016,-19917
