分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,本公司評估分析氣候變遷風險與機會後，逐步建立預期未來可能面臨之風險與挑戰策略，並研究碳議題管理的機制，後續將逐步設定溫室氣體減量目標與計畫。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,8.214
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,14.562
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,8.007000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,223.309
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,5.866
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,9.16
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,6.195
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,333.528
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,7.36
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,9.929
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,5.61
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,191.10399999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,9.014
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,11.161
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,5.162999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,127.051
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,7.666
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,9.762
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.692
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,108.08600000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,9.739
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,8.87
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.262
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,148.091
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,10.360999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,16.09
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.131
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,34.906
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,10.492999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,24.872999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.041999999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,53.818999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,8.215
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,56.081999999999994
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.054
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,163.25900000000001
E,空氣污染物申報-有害空氣污染物,乙苯,,,2017,0.019000000000000003
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.214
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,8.68
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,44.421
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.48200000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,12.017999999999999
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.011
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,10.389000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,39.003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,1.4929999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,12.997
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.020000000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,14.863999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,59.602
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,2.423
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,15.573
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.012
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,4.134
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,7.654
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.764
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,37.39
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2021,0.014
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,3.9829999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,15.617999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,35.914
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,1.104
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,184.833
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2022,0.008
E,空氣污染物申報-有害空氣污染物,乙苯,,,2022,0.003
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,8.483
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,7.734999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2023,17.5
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.5589999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,72.759
E,空氣污染物申報-有害空氣污染物,乙苯,,,2023,0.004
E,空氣污染物申報-有害空氣污染物,甲苯,,,2023,2.448
E,環境違規,違反環境法規金額-misc,,元,2010,60000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,110000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,100000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,660000
E,環境違規,違反環境法規次數-misc,,次,2013,4
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,300000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2016,466000
E,環境違規,違反環境法規次數-misc,,次,2016,4
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,257500
E,環境違規,違反環境法規次數-misc,,次,2017,5
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,666000
E,環境違規,違反環境法規次數-misc,,次,2018,3
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,531000
E,環境違規,違反環境法規次數-misc,,次,2019,5
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2022,180000
E,環境違規,違反環境法規次數-misc,,次,2022,2
E,環境違規,違反環境法規金額-空氣,,元,2022,0
E,環境違規,違反環境法規次數-空氣,,次,2022,0
E,環境違規,違反環境法規金額-水,,元,2022,0
E,環境違規,違反環境法規次數-水,,次,2022,0
S,員工薪資,平均薪資,,仟元,2020,851
S,員工薪資,薪資中位數,,仟元,2020,643
S,員工薪資,平均薪資,,仟元,2019,801
S,員工薪資,薪資中位數,,仟元,2019,659
S,員工薪資,平均薪資,,仟元,2018,695
G,資本額,資本額,,元,2020,3829572180
G,資本額,資本額,,元,2019,3829572180
G,營運狀況,營業收入,,仟元,2020,25421687
G,營運狀況,營業成本,,仟元,2020,20471073
G,營運狀況,營業費用,,仟元,2020,1732408
G,營運狀況,淨利,,仟元,2020,2665565
G,營運狀況,營業收入,,仟元,2019,23791315
G,營運狀況,營業成本,,仟元,2019,19011743
G,營運狀況,營業費用,,仟元,2019,1676043
G,營運狀況,淨利,,仟元,2019,2463300
G,營運狀況,營業收入,,仟元,2018,22401722
G,營運狀況,營業成本,,仟元,2018,19146160
G,營運狀況,營業費用,,仟元,2018,1471172
G,營運狀況,淨利,,仟元,2018,1774557
G,營運狀況,營業收入,,仟元,2017,21214333
G,營運狀況,營業成本,,仟元,2017,18114656
G,營運狀況,營業費用,,仟元,2017,1347236
G,營運狀況,淨利,,仟元,2017,1244702
G,營運狀況,營業收入,,仟元,2016,19681638
G,營運狀況,營業成本,,仟元,2016,16815080
G,營運狀況,營業費用,,仟元,2016,1278341
G,營運狀況,淨利,,仟元,2016,951958
