分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,2146
S,員工薪資,薪資中位數,,仟元,2020,2026
S,員工薪資,平均薪資,,仟元,2019,1807
S,員工薪資,薪資中位數,,仟元,2019,1712
S,員工薪資,平均薪資,,仟元,2018,1739
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,營運狀況,營業收入,,仟元,2020,4817829
G,營運狀況,營業成本,,仟元,2020,2359562
G,營運狀況,營業費用,,仟元,2020,1344564
G,營運狀況,淨利,,仟元,2020,935476
G,營運狀況,營業收入,,仟元,2019,3664910
G,營運狀況,營業成本,,仟元,2019,1739018
G,營運狀況,營業費用,,仟元,2019,1260098
G,營運狀況,淨利,,仟元,2019,538066
G,營運狀況,營業收入,,仟元,2018,3363143
G,營運狀況,營業成本,,仟元,2018,1590475
G,營運狀況,營業費用,,仟元,2018,1221342
G,營運狀況,淨利,,仟元,2018,486630
G,營運狀況,營業收入,,仟元,2017,3173130
G,營運狀況,營業成本,,仟元,2017,1561369
G,營運狀況,營業費用,,仟元,2017,1120014
G,營運狀況,淨利,,仟元,2017,387161
G,營運狀況,營業收入,,仟元,2016,3127191
G,營運狀況,營業成本,,仟元,2016,1562833
G,營運狀況,營業費用,,仟元,2016,1125554
G,營運狀況,淨利,,仟元,2016,363691
